residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Porsche Design Tower,https://pdtowermiami.com,"18555 Collins Avenue, Sunny Isles Beach, FL 33160, United States",6500000,1625,4000000,15000000,4000,132,2017,completed,high,yes,yes,98,Miami,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Cinema/Screening Room, Cold Storage/Package Rooms",Car Elevator,Private Beach Access,Spa,Event Spaces/Banquet Halls,,Porsche Design Tower,A soaring masterpiece with private sky garages elevating luxury living to breathtaking heights.,"This luxurious Miami residence boasts private elevator access to each unit, stunning ocean views, and a unique car lift system."
Porsche Design Tower,https://www.studiofaporsche.com/en/case/porsche-design-tower-stuttgart/,"70435 Stuttgart, Germany.",,,,,,,2017,completed,high,,,,Stuttgart,Germany,,,,,,,,Porsche Design Tower,Elevate your lifestyle with in-unit car elevators offering unparalleled luxury and convenience.,"The Porsche Design Tower boasts stunning panoramic views of Stuttgart, featuring luxurious amenities like private garages and a rooftop infinity pool."
Porsche Design Tower,https://www.porsche-design.com/ca/en/footer/footer/porsche-design-tower/,"60 Soi Sukhumvit 38, Khlong Tan, Khlong Toei, Bangkok, 10110, Thailand",27500000,3055,15000000,40000000,9000,22,2028,planned,high,yes,yes,98,Bangkok,Thailand,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities","Car Elevator, 24-Hour Butler Service",Concierge Services,Spa,Rooftop Amenities,,Porsche Design Tower,Luxurious residences feature private elevators directly accessing your exclusive parking space.,"The tower boasts private sky garages, allowing residents to park their cars beside their luxurious units with breathtaking cityscape views."
"Mondrian Residences, South Beach",https://accor-residences.com/property/mondrian-residences-south-beach-miami/,"Mondrian Residences, South Beach  
1100 West Avenue, Miami Beach, FL 33139, United States",1500000,1500,800000,3000000,1000,342,2008,completed,high,yes,yes,97,Miami,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Pet-Friendly Facilities",,Private Beach Access,Rooftop Amenities,Spa,,Accor,"Immerse in panoramic bay views and bold, artistic design redefining luxury living.","Overlooking the vibrant oceanfront, these residences boast expansive terraces, private rooftop pools, and unparalleled access to pristine beaches."
"Mondrian Tulum Residences, Mexico",https://mondriantulumresidences.com/,"Carretera Tulum-Boca Paila Km 7.5, Tulum, Quintana Roo, 77780, Mexico",1200000,800,800000,2000000,1500,65,2027,under construction,high,yes,yes,96,Tulum,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Residents’ Lounge, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Biking/Running Trails",,Private Beach Access,Spa,Green Spaces/Parks,,Accor,Embrace unparalleled luxury with private rooftop pools overlooking Tulum's lush jungle.,"Offering breathtaking ocean views and direct beach access, these residences feature eco-friendly design and luxurious amenities for an unparalleled lifestyle."
SLS Infantas Residences,https://slsmadridinfantasresidences.com/,"Calle de las Infantas, 40, Centro, Madrid, 28004, Spain",2400000,1600,1700000,3500000,1500,33,2025,under construction,high,yes,yes,95,Madrid,Spain,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Rooftop Amenities,Event Spaces/Banquet Halls,Concierge Services,,Accor,Discover luxurious living in Madrid with stunning skyline views and exquisite design.,The SLS Infantas Residences boast breathtaking skyline views and exclusive access to a rooftop terrace with a luxurious pool.
SLS Infantas Residences,https://accor-residences.com/property/sls-infantas-residences-madrid-spain/,"Calle de Infantas, 29, 28004 Madrid, Spain.",,,,,,,2020,under construction,high,,,,Madrid,Spain,,,,,,,,Accor,"A masterpiece of modern luxury, offering sunlit terraces and vibrant city views.","Offering breathtaking skyline views and a rooftop pool, this residence uniquely combines luxury living with vibrant urban energy."
The OWO Residences by Raffles,https://theowo.london/the-owo-residences,"57 Whitehall, London, SW1A 2BX, United Kingdom",7600000,3800,5000000,20000000,2000,85,2023,completed,high,yes,yes,98,London,UK,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Cinema/Screening Room, Cold Storage/Package Rooms",24-Hour Butler Service,Spa,Business Center,Cinema/Screening Room,,Raffles,"Indulge in opulent living within London's iconic architectural masterpiece, reimagined.","Offering breathtaking views of the River Thames and bespoke interiors, this residence redefines luxury living in London."
"Raffles Residences, Boston Back Bay",https://rafflesresidencesboston.com,"Raffles Residences, Boston Back Bay  
40 Trinity Place, Boston, MA 02116, United States",5500000,2750,1989000,13600000,2000,146,2023,completed,high,yes,yes,99,Boston,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Wine Cellar / Wine Room, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Pet-Friendly Facilities, Cold Storage/Package Rooms",24-Hour Butler Service,Rooftop Amenities,Concierge Services,Spa,,Raffles,Immerse yourself in luxurious living with stunning views of the iconic skyline.,"Offering breathtaking views of the Charles River and unparalleled access to Boston's cultural landmarks, this residence redefines luxury living."
"Fairmont Heritage Place, Ghirardelli Square",https://fairmontatghirardelli.com,"Fairmont Heritage Place, Ghirardelli Square  
900 North Point Street, San Francisco, CA 94109, United States",3000000,1500,2000000,5000000,2000,53,2008,completed,high,yes,yes,97,San Francisco,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Pet-Friendly Facilities",,On-site Restaurant/Café,Green Spaces/Parks,Concierge Services,,Fairmont,Luxurious waterfront residences blend historic charm with breathtaking views of San Francisco Bay.,This luxurious residence boasts breathtaking views of the Golden Gate Bridge and offers exclusive access to historic Ghirardelli Square's vibrant dining and shopping scene.
Kuala Lumpur Residences,https://accor-residences.com/property/so-kl-residences-kuala-lumpur-malaysia/,"1 Jalan Kia Peng, Kuala Lumpur, 50450, Malaysia",1200000,1200,800000,2000000,1000,78,2022,completed,high,yes,yes,95,Kuala Lumpur,Malaysia,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Pet-Friendly Facilities",,Rooftop Amenities,Spa,Concierge Services,,Accor,Elevate your lifestyle with panoramic skyline views from luxurious sky-high sanctuaries.,"Kuala Lumpur Residences boasts breathtaking skyline views and exclusive rooftop amenities, setting a new standard for urban luxury living."
"MGallery Residences, MontAzure Lakeside",https://accor-residences.com/property/mgallery-residences-montazure-lakeside/,"15/1 Moo 6, Kamala, Kathu, Phuket, 83150, Thailand",340000,4680,288000,422000,700,236,2025,under construction,high,yes,yes,99,Phuket,Thailand,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks, Biking/Running Trails",,Concierge Services,Spa,Green Spaces/Parks,,Accor,"Immerse yourself in serene lakeside luxury, surrounded by lush tropical landscapes.","Overlooking a stunning lake and lush mountains, these residences offer unparalleled serenity with exclusive access to a private beach club."
YOO Residences,https://www.yooresidences.com/property/yoo-limassol/,"1 Stasikratous Street, Limassol, 3100, Cyprus",1600000,1185,700000,3500000,1350,141,2025,under construction,high,yes,yes,96,Limassol,Cyprus,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area",,Private Beach Access,Rooftop Amenities,Spa,,Yoo,"Embrace panoramic Mediterranean views from luxurious, artfully designed sky-high residences.","Offering breathtaking panoramic sea views and direct access to pristine beaches, this residence features luxurious amenities and an exclusive rooftop infinity pool."
Lucas by YOO Residences,https://www.yooresidences.com/property/lucas-by-yoo/,"Avenida Carlos Gomes, 1956, Moinhos de Vento, Porto Alegre, RS, 90470-001, Brazil",1000000,1000,600000,1800000,1000,120,2024,completed,high,yes,yes,95,Porto Alegre,Brazil,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Concierge Services,Rooftop Amenities,Gym,,Yoo,"Immerse yourself in stunning city views from luxurious, modern apartments with vibrant amenities.","Offering breathtaking views of the Guaíba River, this residence features exclusive amenities like a rooftop infinity pool and private gardens."
Rio by YOO Residences,https://www.yooresidences.com/property/rio-by-yoo/,"Avenida Rui Barbosa, 170, Flamengo, Rio de Janeiro, RJ, 22250-020, Brazil",1200000,800,900000,1800000,1500,140,2022,completed,high,yes,yes,98,Rio de Janeiro,Brazil,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks",,Concierge Services,Gym,Green Spaces/Parks,,Yoo,"Elevated above Rio’s vibrant landscape, this residence blends luxury with breathtaking panoramas.","Offering breathtaking panoramic views of the iconic Copacabana Beach, this residence boasts exclusive amenities and vibrant urban living."
Float by YOO Residences,https://www.yooresidences.com/property/float-by-yoo/,"Avenida Brigadeiro Faria Lima, 2400, Jardim Paulistano, São Paulo, SP, 01452-000, Brazil",2000000,1333,1200000,3500000,1500,100,2026,under construction,high,yes,yes,94,São Paulo,Brazil,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Rooftop Amenities, Cold Storage/Package Rooms",,On-site Restaurant/Café,Rooftop Amenities,Gym,,Yoo,Soar above São Paulo with unparalleled panoramic views and avant-garde design.,"Offering breathtaking panoramic views of the city skyline, this residence features exclusive amenities like a rooftop infinity pool and private gardens."
Novotel Residences,https://accor-residences.com/property/novotel-residences-makkah-saudi-arabia/,"Al Maabda, Makkah, 24236, Saudi Arabia",500000,833,400000,800000,600,200,2024,completed,high,no,yes,95,Makkah,Saudi Arabia,"Spa / Wellness Area, Fitness Room / Gym, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Business Center, Shared Lounges, Event Spaces/Banquet Halls",,On-site Restaurant/Café,Event Spaces/Banquet Halls,Business Center,,Accor,"Indulge in breathtaking views of the Kaaba from luxurious, spacious accommodations.","Offering breathtaking views of the Kaaba, this residence features spacious apartments with luxurious amenities and a prime location."
Faena Sao Paulo Residences,https://accor-residences.com/property/faena-sao-paulo-residences/,"Faena São Paulo Residences  
Rua Diogo Moreira, 222, Pinheiros, São Paulo, SP, 05423-010, Brazil",3500000,1167,2000000,7000000,3000,100,2026,under construction,high,yes,yes,98,São Paulo,Brazil,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Outdoor Kitchen / BBQ Area, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Tennis Courts, Art Gallery/Exhibition Space, Sports Facilities",24-Hour Butler Service,Concierge Services,Spa,Art Gallery/Exhibition Space,,Accor,"Where artistry meets luxury, these visionary residences redefine São Paulo's skyline elegance.","Offering breathtaking views of the city skyline, these residences feature bespoke interiors and exclusive access to luxurious amenities."
Rixos Financial Center Road Dubai Residences,https://accor-residences.com/property/rixos-financial-center-road-dubai-residences-uae/,"Sheikh Zayed Road, Downtown Dubai, Dubai, 487952, United Arab Emirates",2000000,1333,1500000,5000000,1500,260,2025,under construction,high,yes,yes,99,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Game Room / Entertainment Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Cinema/Screening Room, Cold Storage/Package Rooms","Padel Court, Turkish Hammam, Golf Simulator, 24-Hour Butler Service",Rooftop Amenities,Cinema/Screening Room,On-site Restaurant/Café,,Accor,Elevate your lifestyle with breathtaking skyline views and luxurious modern design.,"Offering breathtaking panoramic views of the Dubai skyline, these residences feature unparalleled amenities and direct access to vibrant cultural hubs."
Rixos Dubai Islands Residences,https://accor-residences.com/property/rixos-dubai-islands-hotel-residences-uae/,"Dubai Islands, Dubai, 487952, United Arab Emirates",1800000,1200,1000000,4000000,1500,300,2026,under construction,high,yes,yes,96,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Marina/Yacht Club, Sports Facilities",,Private Beach Access,Spa,Marina/Yacht Club,,Accor,Discover unparalleled luxury with breathtaking views of Dubai's shimmering skyline and coastline.,"Offering breathtaking waterfront views, these residences feature private beach access and luxurious amenities in a prime location."
"Fairmont Residences, Solara Tower",https://accor-residences.com/property/fairmont-residences-solara-tower-dubai/,"Sheikh Zayed Road, Downtown Dubai, Dubai, 487952, United Arab Emirates",2200000,2316,788000,5170000,950,246,2027,under construction,high,yes,yes,99,Dubai,UAE,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Cold Storage/Package Rooms",24-Hour Butler Service,Concierge Services,Spa,Rooftop Amenities,,Accor,"Elevating luxury living, this architectural masterpiece offers panoramic skyline and sea views.","Offering breathtaking panoramic views of the iconic skyline and luxurious amenities, this residence redefines upscale living in Dubai."
