residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,build_year,rental_potential,development_status,floor_area_sqft,pet_friendly,accessible,no_of_units,city,country,associated_brand,brief_subtitle,feature_names,brief_description,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,confidence_score
"Aman Residences, Amanzoe",https://www.aman.com/resorts/amanzoe/villas-to-own,"Agios Panteleimonas 213 00, Greece",7000000,1000,6500000,10000000,2012,high,completed,215.278,no,yes,32,Kranidi,Greece,Aman,Embrace breathtaking panoramic views in a serene sanctuary of opulent tranquility.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","This luxurious residence boasts breathtaking sea views, private beach access, and an exceptional wellness center, ensuring unparalleled relaxation and rejuvenation.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Valet Parking, Business Center, Tennis Courts","beach club, boutique, farm-to-table dining, helipad, holistic wellness programs, organic garden, sustainability initiatives, yoga pavilion",Swimming Pool,Spa,Tennis Courts,95
"Aman Residences, Amanyara",https://www.aman.com/resorts/amanyara/villas-own-amanyara,"Amanyara, Northwest Point, Wheeland Settlement TKCA 1ZZ, Turks & Caicos Islands",12000000,1000,10000000,14000000,2006,high,completed,240.000,no,yes,20,Providenciales,Turks & Caicos Islands,Aman,Discover serene luxury with breathtaking ocean views and pristine private beaches.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, guest house/guest suite, home office, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Overlooking the stunning turquoise waters, this exclusive residence boasts private beach access, luxurious amenities, and unparalleled tranquility.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","bar, beach club, boutique, diving, farm-to-table dining, guided nature walks, holistic wellness programs, library, organic garden, personal bar, pilates studio, sustainability initiatives, tennis courts, yoga pavilion",Swimming Pool,Spa,Tennis Courts,95
"Aman Residences, Amanvari",https://www.aman.com/resorts/amanvari,"HCPX+PQ, 23570 La Ribera, B.C.S., Mexico",10000000,833,8000000,12000000,2025,high,under construction,360.000,no,yes,24,La Ribera,Mexico,Aman,"Where the desert meets the sea, discover serene luxury with private pavilions.","butler’s pantry/service kitchen, fitness room/gym, garden/yard, guest house/guest suite, home office, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Overlooking the stunning Sea of Cortez, this residence boasts private beach access, exquisite outdoor spaces, and breathtaking sunset vistas.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Airport Transfer, Business Center, Tennis Courts","Private Residences, Private Pools, Infinity Pool with Hot Tubs, Beach Club, Library, Lounge, Yoga Pavilion, Wellness Center, Outdoor Terraces, Floor-to-Ceiling Glass Walls, Organic Design Aesthetic, Sustainability Initiatives, Personal Host Service",Swimming Pool,Spa,On-site Restaurant/Café,90
"Aman Residences, Amanera",https://www.aman.com/resorts/amanera/villas-to-own,"Amanera, Auto. 5. Carretera, Carretera, Rio San Juan 33300, Dominican Republic",6000000,1000,4000000,8000000,2015,high,completed,215.000,no,yes,25,Rio San Juan,Dominican Republic,Aman,Discover breathtaking ocean views from private villas amid lush tropical landscapes.,"bar, beach club, boutique, diving, farm-to-table dining, holistic wellness programs, organic garden, personal bar, pilates studio, sea turtle conservation, sustainability initiatives, wellness island, yoga pavilion","Overlooking the stunning Playa Grande, this residence boasts private access to a world-renowned golf course and breathtaking ocean views.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts, Golf Course Access","Private Casitas with Pools, Beach Club, Lounge Bar, Wellness Casa, Fitness Room, Open-air Yoga Platform, In-Casita Treatments, Nature Bonding Wellness Experiences, Resident Wellness Specialist, Extensive Spa Menu, Wellness Pop-up Events, Cigar Lounge, Guided Hikes, Water Sports, Sustainability Initiatives, Floor-to-Ceiling Glass, Outdoor Dining Areas, Panoramic Ocean Views, Personal Host Service",Swimming Pool,Spa,On-site Restaurant/Café,95
"Aman Villas, Bali",https://www.aman.com/villas/aman-villas-at-nusa-dua/residences,"Jl. Raya Nusa Dua Selatan, Nusa Dua, Bali 80363, Indonesia",7000000,1400,6000000,8500000,2013,high,completed,236.806,no,yes,6,Bali,Indonesia,Aman,Indulge in lavish private villas with breathtaking ocean views and serene gardens.,"butler’s pantry/service kitchen, fitness room/gym, home office, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking ocean views and private beachfront access, this luxurious residence features spacious villas with personalized services and stunning infinity pools.","Swimming Pool, Gym, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center","complimentary airport transfers, golf course access (bali national golf club), open-air dining pavilion, sustainability initiatives, two personal butlers",Swimming Pool,Concierge Services,On-site Restaurant/Café,95
"Aman Residences, Tokyo",https://www.aman.com/residences/aman-residences-tokyo,"1-5-6 Otemachi, Chiyoda City, Tokyo 100-0004, Japan",10000000,2500,9000000,12000000,2023,high,completed,215.000,no,yes,91,Tokyo,Japan,Aman,"Soaring above Tokyo, this sanctuary offers panoramic cityscapes framed by timeless elegance.","butler’s pantry/service kitchen, fitness room/gym, garden/yard, library/study, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking views of the Imperial Palace and bespoke wellness amenities, this residence redefines luxury living in Tokyo.","Swimming Pool, Gym, Spa, Concierge Services, Housekeeping Services","art collection, bar, dedicated arrival lobby, lounge, sauna, sustainability initiatives, treatment rooms",Swimming Pool,Spa,Concierge Services,95
"Amanpuri, Phuket",https://www.aman.com/resorts/amanpuri/villas-to-own,"118 Moo 3, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand",7000000,1400,6000000,8500000,1988,high,completed,236.806,no,yes,40,Phuket,Thailand,Aman,Elevate your senses with breathtaking ocean views from luxurious hillside pavilions.,"butler’s pantry/service kitchen, chef’s kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Overlooking the azure waters of the Andaman Sea, this luxurious retreat boasts private villas with infinity pools and unparalleled sunset views.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","art gallery, beach club, boardroom, boutique, hobie cats), hydrotherapy areas, infrared sauna, italian restaurant (arva), japanese restaurant (nama), kayaking, pilates studio, south american lounge (nura), sustainability initiatives, thai restaurant (buabok), watersports pavilion (paddleboarding, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,95
"Aman Residences, Amangani",https://www.aman.com/resorts/amangani/residences,"1535 North East Butte Road, Jackson, WY 83001, USA​",8000000,1600,7000000,9500000,1999,high,completed,240.000,yes,yes,40,Jackson,United States,Aman,Breathtaking mountain vistas and luxurious alpine living create an enchanting retreat.,"butler’s pantry/service kitchen, chef’s kitchen, fitness room/gym, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking panoramic views of the Teton Range, this residence boasts a private ski-in, ski-out experience and luxurious amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services","cycling, fireplaces, floor-to-ceiling windows, guided hikes, heli-skiing, horseback riding, in-room dining, kayaking, snowshoeing, sustainability initiatives, wildlife safaris",Swimming Pool,Spa,On-site Restaurant/Café,95
Layan Residences by Anantara,https://www.layanresidences-anantara.com/,"128 Moo 4, Layan Beach, Srisoonthorn Road, Thalang, Phuket 83110, Thailand",8300000,365,7400000,9200000,2021,high,completed,40.000,no,yes,15,Phuket,Thailand,Anantara,Experience unparalleled luxury with breathtaking ocean views from your private infinity pool.,"butler’s pantry/service kitchen, fitness room/gym, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Offering breathtaking ocean views and private infinity pools, these residences provide an unparalleled blend of luxury and tranquility.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","beach club, climbing wall, cooking classes, functional training ground, golf access, kids club (chang club), muay thai boxing ring, personal trainers, rooftop bar, surfskate field, sustainability initiatives, thai language lessons, yacht excursions, yoga pavilion",Swimming Pool,Gym,On-site Restaurant/Café,95
Avadina Hills by Anantara,https://www.avadinahills.com/,"2/4 Moo 6, Soi Nernplubwan, Kamala, Kathu, Phuket 83150, Thailand​",10000000,1000,9000000,12000000,2021,high,completed,40.000,no,yes,11,Phuket,Thailand,Anantara,Experience luxurious hillside villas with breathtaking ocean views and private infinity pools.,"chef’s kitchen, fitness room/gym, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","This luxurious residence boasts breathtaking panoramic views of the Andaman Sea, complemented by exclusive access to a private beach and world-class amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","beach club, climbing wall, cooking classes, functional training ground, golf access, kids club (chang club), muay thai boxing ring, personal trainers, rooftop bar, surfskate field, sustainability initiatives, thai language lessons, yacht excursions, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,95
Anantara Chiang Mai Residences,https://www.anantararesidences.com/chiangmai,"123/1 Charoen Prathet Road, Chang Klan, Chiang Mai 50100, Thailand",500000,400,450000,550000,2016,medium,completed,,no,yes,44,Chiang Mai,Thailand,Anantara,Experience riverside serenity with sleek modern design and exclusive personalized luxury.,"butler’s pantry/service kitchen, chef’s kitchen, fitness room/gym, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking views of the Ping River and lush mountains, this residence features expansive terraces and luxurious amenities for an unparalleled living experience.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services","in-room massages, pet-friendly, spice spoons cooking classes, sustainability initiatives, washing machine and dryer",Swimming Pool,Spa,On-site Restaurant/Café,90
Anantara Desaru Coast Residences,https://www.anantaradesaru-residences.com/,"5, Jalan Desaru Coast, Bandar Penawar, 81930 Johor, Malaysia",2000000,500,1800000,2200000,2020,high,completed,,no,yes,20,Johor,Malaysia,Anantara,Experience unparalleled luxury with stunning ocean views and private beachfront villas.,"butler’s pantry/service kitchen, fitness room/gym, home theater, library/study, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Offering stunning ocean views and direct access to pristine beaches, these residences feature luxurious amenities and unparalleled privacy.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","beach club, cooking classes, golf course access, kids club, observatory bar, personal trainers, rooftop bar, sustainability initiatives, teens club, thai language lessons, water sports centre, yacht excursions, yoga pavilion
",Swimming Pool,Spa,On-site Restaurant/Café,95
Anantara Ubud Residences,https://www.anantaraubud-residences.com/,"Jl. Raya Sebali, Keliki, Tegallalang, Gianyar, Bali 80561, Indonesia",1500000,1000,1200000,1800000,2023,high,completed,472.000,no,yes,15,Bali,Indonesia,Anantara,Experience serene luxury amidst lush rice terraces and tranquil river views.,"butler’s pantry/service kitchen, fitness room/gym, home office, private balcony/terrace, private pool, spa/wellness area","Set amidst lush rice terraces, this residence boasts breathtaking valley views, an infinity pool, and holistic wellness experiences.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services​

","accessibility features (e.g., airport transfer services, amerta restaurant, beauty services (manicure, cooking classes (spice spoons), cultural activities (e.g., cycling), facial treatments), family pool), family-friendly amenities (e.g., hiking, kids’ & teen’s club, lobby garden), lobby lounge), local market visits, meeting and event spaces (e.g., multiple dining venues (kirana restaurant, pedicure, personal trainer, recreational activities (e.g., rice farm tours), sauna, sulang bar, sustainability initiatives, toilet with grab rails), wheelchair accessible, yoga classes",Swimming Pool,Spa,On-site Restaurant/Café,90
Baccarat Hotel & Residences New York,https://www.baccaratresidencesny.com/,"28 W 53rd St, New York, NY 10019, USA",16995000,3740,16995000,17000000,2015,high,completed,279.886,yes,yes,61,New York,United States,Baccarat,"A glittering masterpiece of crystal-inspired luxury, offering unparalleled sophistication and artistry.","chef’s kitchen, fitness room/gym, private pool, roof deck/patio, spa/wellness area","Offering breathtaking views of Central Park and luxurious amenities like a private spa and personalized concierge services, this residence redefines urban elegance.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Valet Parking, Gym","beach club, cooking classes, golf course access, kids club, observatory bar, personal trainers, rooftop bar, sustainability initiatives, teens club, thai language lessons, water sports centre, yacht excursions, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,95
Baccarat Residences Maldives,https://baccaratmaldivesresidences.com/#our-residences,"Laccadive Sea, Hinnavaru, Maldives",23000000,1000,4750000,42500000,2027,high,under construction,1.060.000,no,yes,53,Hinnavaru,Maldives,Baccarat,Experience unparalleled luxury with breathtaking overwater villas and private coral gardens.,"butler’s pantry/service kitchen, fitness room/gym, home theater, library/study, private balcony/terrace, private pool, spa/wellness area, wine cellar/wine room","Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living in the Maldives' pristine paradise.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts, Golf Course Access","beach club, cooking classes, golf course access, kids club, observatory bar, personal trainers, rooftop bar, sustainability initiatives, teens club, thai language lessons, water sports centre, yacht excursions, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,90
Baccarat Residences Dubai,https://www.baccaratresidencesdubai.com/,"1 Al A’amal Street, Business Bay, Dubai, UAE",,,,,2026,high,under construction,,yes,yes,,Dubai,UAE,Baccarat,Experience unparalleled luxury with breathtaking views of the iconic Dubai skyline.,"fitness room/gym, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking panoramic views of the iconic skyline and direct access to luxury amenities, this residence redefines opulent living.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts","baccarat bar, benches, cctv, cinema, conference hall, covered parking, curated retail space, fitness/yoga studio, footpaths, grand & petit salon, jogging tracks, lush green environment, meeting rooms, promenade with amenities, running tracks, security, shop, specialty restaurants, supermarket, well-developed facilities",Swimming Pool,Spa,On-site Restaurant/Café,85
Baccarat Residences Miami,https://baccarat-brickell.com/,"450 NE 34th St, Miami, FL 33137, USA",18000000,1690,4250900,31760000,2025,high,under construction,,yes,yes,360,Miami,United States,Baccarat,"Rising above Biscayne Bay, this masterpiece offers shimmering crystal-inspired elegance throughout.","fitness room/gym, home theater, private balcony/terrace, private elevator, private pool, roof deck/patio, spa/wellness area, walk-in closet/dressing room, wine cellar/wine room","The Baccarat Residences in Miami boast breathtaking waterfront views, lavish amenities, and unparalleled access to vibrant cultural experiences.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","air-conditioned storage rooms, and away-from-home maintenance, bicycle storage spaces, children's playroom, clubroom with bar and billiards, electric vehicle charging stations, gourmet market, grand salon, hair salon & barber station, plant care, pool-side cabanas, residential oversight including pet care, smart building technology",Swimming Pool,Spa,On-site Restaurant/Café,90
Banyan Tree Residences Huangshan,https://www.banyangroupresidences.com/china/huangshan/banyan-tree-residences-huangshan,"Huangshan, China.",,,,,,medium,completed,,yes,yes,,Huangshan,China,Banyan Tree,Embrace panoramic mountain vistas from luxurious villas harmoniously blending with nature.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, outdoor kitchen/bbq area, private balcony/terrace, private elevator, private pool, spa/wellness area","Offering breathtaking panoramic views of the iconic Huangshan peaks, this residence features private hot springs and personalized wellness services.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center","24-hour front desk, air conditioning, banquet hall, banyan tree gallery, barbecue grill, coffee/tea maker, connecting rooms available, deep soaking bathtub, free wi-fi, hiking/biking trails, in-room dining, iron/ironing board, kids club, laptop workspace, laundry facilities, luggage storage, meetings & events facilities, minibar, multilingual staff, pillow menu, playground, premium bedding, reception hall, safe, smoke-free property, soundproofed rooms, tour/ticket assistance, yoga",Swimming Pool,Spa,On-site Restaurant/Café,80
Banyan Tree Residences Bintan,https://www.banyangroupresidences.com/indonesia/bintan/banyan-tree-residences-bintan,"Laguna Bintan Resort, Lagoi, Bintan, Indonesia",1480000,340,1480000,1500000,2010,high,completed,250.000,no,yes,64,Bintan,Indonesia,Banyan Tree,Experience unparalleled luxury with stunning beachfront villas surrounded by lush tropical landscapes.,"fitness room/gym, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking ocean views and private access to pristine beaches, these residences redefine luxury living in tropical paradise.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Golf Course Access","banyan tree gallery, bicycle rental, conservation lab, destination dining experiences, jacuzzi, marine centre (water sports), meetings & events facilities, nature trails, rangers kids club, sustainability initiatives, yoga classes",Swimming Pool,Spa,On-site Restaurant/Café,85
Cassia Residences Bintan,https://www.banyangroupresidences.com/indonesia/bintan/cassia-residences-bintan,"Jl. Raya Lagoi, Lagoi, Bintan, Kepulauan Riau, Indonesia",185000,280,120000,250000,2015,medium,completed,50.000,no,yes,,Bintan,Indonesia,Banyan Tree,"Steps from pristine shores, this vibrant retreat blends modern luxury with tropical charm.","butler’s pantry/service kitchen, fitness room/gym, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking panoramic views of the South China Sea, this residence features private beach access and luxurious amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Tennis Courts, Golf Course Access","24-hour front desk, air conditioning, babysitting services, beachfront access, complimentary wi-fi, currency exchange, fully equipped kitchenette, in-room safe, laundry facilities, loft-style apartments with mezzanine, marine centre (water sports), market 23 (on-site grocery), non-smoking rooms, rangers kids club, sea turtle conservation program, wheelchair accessible",Swimming Pool,Tennis Courts,Golf Course Access,80
