residence_name,website_url,associated_brand,brief_subtitle,brief_description,budget_start_range,budget_end_range,city,country,address
Amanzoe,https://www.aman.com/resorts/amanzoe/villas-to-own,Aman,Embrace breathtaking panoramic views in a serene sanctuary of opulent tranquility.,"This luxurious residence boasts breathtaking sea views, private beach access, and an exceptional wellness center, ensuring unparalleled relaxation and rejuvenation.",500,1500,Porto Heli,Greece,"Agios Panteleimonas 213 00, Greece"
Amanyara,https://www.aman.com/resorts/amanyara/villas-own-amanyara,Aman,Discover serene luxury with breathtaking ocean views and pristine private beaches.,"Overlooking the stunning turquoise waters, this exclusive residence boasts private beach access, luxurious amenities, and unparalleled tranquility.",1200,5000,Wheeland Settlement,Turks & Caicos Islands,"Amanyara, Northwest Point, Wheeland Settlement TKCA 1ZZ, Turks & Caicos Islands"
Amanvari,https://www.aman.com/resorts/amanvari,Aman,"Where the desert meets the sea, discover serene luxury with private pavilions.","Overlooking the stunning Sea of Cortez, this residence boasts private beach access, exquisite outdoor spaces, and breathtaking sunset vistas.",4500000,20000000,La Ribera,Mexico,"HCPX+PQ, 23570 La Ribera, B.C.S., Mexico"
Amanera,https://www.aman.com/resorts/amanera/villas-to-own,Aman,Discover breathtaking ocean views from private villas amid lush tropical landscapes.,"Overlooking the stunning Playa Grande, this residence boasts private access to a world-renowned golf course and breathtaking ocean views.",1500,1500000,Rio San Juan,Dominican Republic,"Amanera, Auto. 5. Carretera, Carretera, Rio San Juan 33300, Dominican Republic"
Aman Villas,https://www.aman.com/villas/aman-villas-at-nusa-dua/residences,Aman,Indulge in lavish private villas with breathtaking ocean views and serene gardens.,"Offering breathtaking ocean views and private beachfront access, this luxurious residence features spacious villas with personalized services and stunning infinity pools.",30000000,33000000,Bali,Indonesia,"Jl. Raya Nusa Dua Selatan, Nusa Dua, Bali 80363, Indonesia."
Aman Residences,https://www.aman.com/residences/aman-residences-tokyo,Aman,"Soaring above Tokyo, this sanctuary offers panoramic cityscapes framed by timeless elegance.","Offering breathtaking views of the Imperial Palace and bespoke wellness amenities, this residence redefines luxury living in Tokyo.",100000000,600000000,Tokyo,Japan,"1-5-6, Marunouchi, Chiyoda City, Tokyo 100-0005, Japan."
Amanpuri,https://www.aman.com/resorts/amanpuri/villas-to-own,Aman,Elevate your senses with breathtaking ocean views from luxurious hillside pavilions.,"Overlooking the azure waters of the Andaman Sea, this luxurious retreat boasts private villas with infinity pools and unparalleled sunset views.",50000,30000000,Phuket,Thailand,"Amanpuri, 118 Moo 3, Pak Weep Beach, Thalang, Phuket 83110, Thailand."
"Aman Residences, Amangani",https://www.aman.com/resorts/amangani/residences,Aman,Breathtaking mountain vistas and luxurious alpine living create an enchanting retreat.,"Offering breathtaking panoramic views of the Teton Range, this residence boasts a private ski-in, ski-out experience and luxurious amenities.",2500000,38000000,Jackson,United States,"Aman Residences, Amangani  
1535 N East Butte Rd  
Jackson, WY 83001  
USA"
Layan Residences by Anantara,https://www.layanresidences-anantara.com/,Anantara,Experience unparalleled luxury with breathtaking ocean views from your private infinity pool.,"Offering breathtaking ocean views and private infinity pools, these residences provide an unparalleled blend of luxury and tranquility.",20000000,80000000,Phuket,Thailand,"128 Moo 4, Layan Beach, Srisoonthorn Road, Thalang, Phuket 83110, Thailand."
Avadina Hills by Anantara,https://www.avadinahills.com/,Anantara,Experience luxurious hillside villas with breathtaking ocean views and private infinity pools.,"This luxurious residence boasts breathtaking panoramic views of the Andaman Sea, complemented by exclusive access to a private beach and world-class amenities.",42000000,50000000,Phuket,Thailand,"2/4 Moo 6, Soi Nernplubwan, Kamala, Kathu, Phuket 83150, Thailand."
Anantara Chiang Mai Residences,https://www.anantararesidences.com/chiangmai,Anantara,Experience riverside serenity with sleek modern design and exclusive personalized luxury.,"Offering breathtaking views of the Ping River and lush mountains, this residence features expansive terraces and luxurious amenities for an unparalleled living experience.",10000000,50000000,Chiang Mai,Thailand,"123/1 Charoen Prathet Road, Chang Klan, Chiang Mai 50100, Thailand."
"Anantara Residences, Desaru Coast Malaysia",https://www.anantaradesaru-residences.com/,Anantara,Experience unparalleled luxury with stunning ocean views and private beachfront villas.,"Offering stunning ocean views and direct access to pristine beaches, these residences feature luxurious amenities and unparalleled privacy.",1800000,4500000,Johor,Malaysia,"Anantara Residences, Desaru Coast, 5, Jalan Desaru Coast, Bandar Penawar, 81930 Johor, Malaysia."
Anantara Ubud,https://www.anantaraubud-residences.com/,Anantara,Experience serene luxury amidst lush rice terraces and tranquil river views.,"Set amidst lush rice terraces, this residence boasts breathtaking valley views, an infinity pool, and holistic wellness experiences.",1500,5000,Bali,Indonesia,"Jl. Raya Sebali, Keliki, Tegallalang, Gianyar, Bali 80561, Indonesia."
Baccarat Hotel & Residences,https://www.baccaratresidencesny.com/,Baccarat,"A glittering masterpiece of crystal-inspired luxury, offering unparalleled sophistication and artistry.","Offering breathtaking views of Central Park and luxurious amenities like a private spa and personalized concierge services, this residence redefines urban elegance.",2000000,60000000,New York,United States,"Baccarat Hotel & Residences  
28 W 53rd St  
New York, NY 10019  
USA"
Baccarat Residences,https://baccaratmaldivesresidences.com/#our-residences,Baccarat,Experience unparalleled luxury with breathtaking overwater villas and private coral gardens.,"Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living in the Maldives' pristine paradise.",2000000,1000000,Hinnavaru,Maldives,"Baccarat Residences Maldives, Laccadive Sea, Hinnavaru, Maldives."
Baccarat Residences,https://www.baccaratresidencesdubai.com/,Baccarat,Experience unparalleled luxury with breathtaking views of the iconic Dubai skyline.,"Offering breathtaking panoramic views of the iconic skyline and direct access to luxury amenities, this residence redefines opulent living.",2500000,100000000,Dubai,UAE,"1 Al A’amal Street, Business Bay, Dubai, UAE."
Baccarat Residences,https://baccarat-brickell.com/,Baccarat,"Rising above Biscayne Bay, this masterpiece offers shimmering crystal-inspired elegance throughout.","The Baccarat Residences in Miami boast breathtaking waterfront views, lavish amenities, and unparalleled access to vibrant cultural experiences.",2000000,8500000,Miami,United States,"Baccarat Residences Miami, 450 NE 34th St, Miami, FL 33137, USA."
Banyan Tree Residences,https://www.banyangroupresidences.com/china/huangshan/banyan-tree-residences-huangshan,Banyan Tree,Embrace panoramic mountain vistas from luxurious villas harmoniously blending with nature.,"Offering breathtaking panoramic views of the iconic Huangshan peaks, this residence features private hot springs and personalized wellness services.",8000000,3500000,Huangshan,China,"Huangshan, China."
Banyan Tree Residences,https://www.banyangroupresidences.com/indonesia/bintan/banyan-tree-residences-bintan,Banyan Tree,Experience unparalleled luxury with stunning beachfront villas surrounded by lush tropical landscapes.,"Offering breathtaking ocean views and private access to pristine beaches, these residences redefine luxury living in tropical paradise.",1800000000,3500000,Bintan,Indonesia,"Bintan, Indonesia."
Cassia Residences,https://www.banyangroupresidences.com/indonesia/bintan/cassia-residences-bintan,Banyan Tree,"Steps from pristine shores, this vibrant retreat blends modern luxury with tropical charm.","Offering breathtaking panoramic views of the South China Sea, this residence features private beach access and luxurious amenities.",1500000000,3000000000,Bintan,Indonesia,"Bintan, Indonesia is located at Jl. Raya Lagoi, Lagoi, Bintan, Kepulauan Riau, Indonesia."
"Angsana Residences, Teluk Bahang",https://www.banyangroupresidences.com/malaysia/penang/angsana-residences-teluk-bahang-penang,Banyan Tree,Experience unrivaled luxury with breathtaking ocean views from your private sanctuary.,"Angsana Residences in Teluk Bahang boasts breathtaking ocean views, exclusive beach access, and luxurious amenities, redefining coastal living.",1500000,7000000,Penang,Malaysia,"Penang, Malaysia."
"Banyan Tree Residences, Cabo Marques",https://www.banyangroupresidences.com/mexico/cabo-marques/banyan-tree-residences-cabo-marques,Banyan Tree,Experience breathtaking ocean views and luxurious living in a serene tropical oasis.,"Overlooking the stunning Pacific Ocean, these residences boast private infinity pools, expansive terraces, and unparalleled sunset vistas.",12000000,8500000,Acapulco,Mexico,"Acapulco de Juárez, Mexico."
Angsana Heritage Collection Hacienda Xcanatun Residences,https://www.banyangroupresidences.com/mexico/xcanatun/angsana-heritage-collection-hacienda-xcanatun-residences,Banyan Tree,"A sanctuary of timeless elegance, blending colonial charm with modern luxury living.","The Hacienda Xcanatun Residences boast stunning views of ancient Mayan ruins and lush tropical landscapes, offering unparalleled tranquility and luxury.",600000,7000000,Xcanatun,Mexico,"Xcanatun, Mexico."
Banyan Tree Residences,https://www.banyangroupresidences.com/philippines/manila/banyan-tree-residences-manila-bay,Banyan Tree,"Experience unparalleled luxury with breathtaking skyline views and lush, tranquil gardens.","Offering breathtaking views of Manila Bay and exclusive access to lush green spaces, this residence redefines urban luxury living.",25000000,45000000,Manila,Philippines,"Manila, Philippines: 8th Avenue, Bonifacio Global City, Taguig, Metro Manila."
Banyan Tree Residences,https://www.banyangroupresidences.com/south-korea/bUnited Statesn/banyan-tree-residences-haeundae-bUnited Statesn,Banyan Tree,Experience breathtaking ocean views and luxurious living in Busan's stunning skyline.,"Offering breathtaking ocean views and direct access to pristine beaches, this residence features luxurious amenities and exceptional privacy.",1800000000,5800000000,Busan,South Korea,"30, Dongbaek-ro 12beon-gil, Haeundae-gu, Busan, South Korea."
"Angsana Residences, Yeouido",https://www.banyangroupresidences.com/south-korea/seoul/angsana-residences-yeouido-seoul,Banyan Tree,"Elevating urban luxury, this riverside haven offers panoramic Han River vistas.","Boasting panoramic Han River views and luxurious amenities, this residence offers an unparalleled urban living experience in Seoul.",3500000000,20000000000,Seoul,South Korea,"16, Yeouido-dong, Yeongdeungpo-gu, Seoul, South Korea."
"Banyan Tree Residences, Riverside",https://www.banyangroupresidences.com/thailand/bangkok/banyan-tree-residences-riverside-bangkok,Banyan Tree,Experience unparalleled riverfront luxury with breathtaking panoramic views of Bangkok's skyline.,"Offering breathtaking riverfront views and expansive private balconies, this residence boasts unparalleled luxury and serene urban living.",30000000,35000000,Bangkok,Thailand,"1 Sathorn Soi 12, Yannawa, Sathorn, Bangkok 10120, Thailand."
"Cassia Residences, Rama 9",https://www.banyangroupresidences.com/thailand/bangkok/cassia-residences-rama-9,Banyan Tree,Experience luxurious urban living with stunning skyline views and lush green spaces.,"Cassia Residences, Rama 9 boasts breathtaking skyline views and a vibrant community atmosphere, enhancing urban living with unparalleled amenities.",4800000,12000000,Bangkok,Thailand,"Bangkok, Thailand."
"Banyan Tree Residences, Creston Hill",https://www.banyangroupresidences.com/thailand/khao-yai/banyan-tree-residences-creston-hill,Banyan Tree,Experience unparalleled tranquility with breathtaking panoramic views of Khao Yai's lush landscapes.,"Overlooking the stunning Khao Yai National Park, these residences feature private infinity pools and expansive terraces for unparalleled mountain views.",30000000,55000000,Mu Si,Thailand,"Mu Si, Thailand."
"Banyan Tree Residences, Sichon",https://www.banyangroupresidences.com/thailand/nakhon-si-thammarat/banyan-tree-residences-sichon,Banyan Tree,Experience unparalleled serenity with panoramic ocean views and private infinity pools.,"Offering breathtaking panoramic views of the Gulf of Thailand, this residence features private beach access and luxurious amenities.",12000000,30000000,Nakhon Si Thammarat,Thailand,"Nakhon Si Thammarat, Thailand."
Skypark Lucean Jomtien,https://www.banyangroupresidences.com/thailand/pattaya/skypark-lucean-jomtien-pattaya,Banyan Tree,Experience breathtaking ocean views and luxurious living in a tropical paradise.,"Skypark Lucean Jomtien boasts breathtaking ocean views, luxurious amenities, and direct access to pristine beaches, redefining coastal living.",1990000,11500000,Pattaya,Thailand,"Pattaya, Thailand."
Angsana Oceanview Residences,https://www.banyangroupresidences.com/thailand/phuket/angsana-oceanview-residences-phuket,Banyan Tree,Experience uninterrupted panoramic ocean views from your private infinity pool sanctuary.,"Set along a pristine coastline, these residences boast stunning ocean views, luxurious amenities, and direct beach access for an unparalleled lifestyle.",5200000,30000000,Phuket,Thailand,"Phuket, Thailand."
"Banyan Tree Grand Residences, Beach Terraces",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-beach-terraces,Banyan Tree,Experience unparalleled luxury with panoramic ocean views and exclusive beach access.,"Set against a backdrop of stunning ocean views, this luxurious residence boasts private infinity pools and direct beach access.",20000000,100000000,Phuket,Thailand,"89/8 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand."
"Banyan Tree Grand Residences, Grand Villas",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-grand-villas,Banyan Tree,Experience unparalleled luxury in private villas with breathtaking ocean views and lush gardens.,"Overlooking pristine beaches and lush mountains, these luxurious villas boast private infinity pools and expansive terraces for unforgettable sunsets.",35000000,100000000,Phuket,Thailand,"99/99 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand."
"Banyan Tree Grand Residences, Lagoon Pool Villas",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-lagoon-pool-villas,Banyan Tree,Immerse in serene luxury with expansive lagoon-front villas and private pools.,"Experience unparalleled luxury in these exquisite lagoon pool villas, boasting breathtaking sunset views and private infinity pools.",90000000,30000000,Phuket,Thailand,"105/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand."
"Banyan Tree Grand Residences, Oceanfront Villas",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-oceanfront-villas,Banyan Tree,Experience unparalleled luxury with panoramic ocean views and private infinity pools.,"Overlooking the azure Andaman Sea, these luxurious oceanfront villas feature private infinity pools and direct beach access for an unparalleled tropical escape.",40000000,70000000,Phuket,Thailand,"Banyan Tree Grand Residences, Oceanfront Villas  
99/1 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand"
"Banyan Tree Grand Residences, Seaview Residences",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-grand-residences-seaview-residences,Banyan Tree,Experience unparalleled luxury with breathtaking ocean views from your private infinity pool.,"Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living with unparalleled amenities and exclusive beach access.",35000000,60000000,Phuket,Thailand,"99/3 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand."
"Banyan Tree Residences, Beach Residences",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-residences-beach-residences,Banyan Tree,Experience unparalleled beachfront luxury with private infinity pools and panoramic ocean vistas.,"Overlooking pristine beaches and lush hills, these residences boast private infinity pools and direct access to exclusive amenities.",21000000,120000000,Phuket,Thailand,"99/99 Moo 4, Cherngtalay, Thalang, Phuket 83110, Thailand."
"Banyan Tree Residences, Beach Villas",https://www.banyangroupresidences.com/thailand/phuket/banyan-tree-residences-beach-villas,Banyan Tree,Experience unparalleled luxury with private infinity pools overlooking serene Andaman Sea views.,"Set against stunning ocean vistas, these luxurious villas offer private infinity pools, lush gardens, and direct beach access for an unparalleled tropical lifestyle.",25000000,35000000,Phuket,Thailand,"89/99 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand."
Cassia,https://www.banyangroupresidences.com/thailand/phuket/cassia-phuket,Banyan Tree,Experience luxurious tranquility with stunning ocean views and lush tropical gardens.,"Overlooking stunning ocean vistas, this residence boasts private infinity pools, direct beach access, and lush tropical gardens for ultimate relaxation.",5000,500,Phuket,Thailand,"Cassia Phuket, 64 Moo 4, Srisoonthorn Road, Choeng Thale, Thalang, Phuket 83110, Thailand."
Garrya Residences,https://www.banyangroupresidences.com/thailand/phuket/garrya-residences-phuket,Banyan Tree,"Overlooking serene ocean vistas, these luxurious hillside retreats blend modern elegance with tranquil privacy.","Garrya Residences boasts breathtaking ocean views and private access to pristine beaches, combining luxury living with serene nature.",6000000,20000000,Phuket,Thailand,"6/2 Soi Ta-iad, Chalong, Phuket, Thailand."
"Laguna Beach Residences, Bayside",https://www.banyangroupresidences.com/thailand/phuket/laguna-beach-residences-bayside,Banyan Tree,Experience unparalleled luxury with breathtaking ocean views and private infinity pools.,"Laguna Beach Residences in Phuket boasts stunning ocean views and direct access to pristine beaches, enhancing luxury living.",3900000,20000000,Phuket,Thailand,"97/1 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand."
Laguna Lakelands Lakeview Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakelands-lakeview-residences,Banyan Tree,Experience serene lakeside living with stunning views and lush tropical landscapes.,"Overlooking serene lagoons and lush landscapes, these residences boast private pools, expansive terraces, and unparalleled access to pristine beaches.",9500000,30000000,Phuket,Thailand,"66/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand."
Laguna Lakelands Waterfront Villas,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakelands-waterfront-villas,Banyan Tree,Experience unparalleled luxury with serene lakefront villas offering breathtaking sunset views.,"Offering breathtaking sunset views over tranquil lagoons, these villas feature private infinity pools and direct beach access.",10000000,25000000,Phuket,Thailand,"29/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand."
Laguna Lakeside 2 Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakeside-2-residences,Banyan Tree,Experience unparalleled luxury with breathtaking lakeside views and serene tropical surroundings.,"Laguna Lakeside 2 Residences boasts stunning lake views, private access to pristine beaches, and exclusive amenities for ultimate relaxation.",2500000,25000000,Phuket,Thailand,"351, 351/1 Moo 6, Choeng Thale, Thalang District, Phuket 83110, Thailand."
Laguna Seaside Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-seaside-residences,Banyan Tree,Experience unparalleled luxury living with breathtaking ocean views and lush tropical gardens.,"Laguna Seaside Residences boasts stunning beachfront views and direct access to pristine white sands, enhancing luxury living in Phuket.",5500000,15000000,Phuket,Thailand,"95/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand."
Skypark Celeste Laguna,https://www.banyangroupresidences.com/thailand/phuket/skypark-celeste-laguna-phuket,Banyan Tree,"Elevated above lush lagoons, this sanctuary offers panoramic rooftop infinity pools.",Skypark Celeste Laguna boasts breathtaking panoramic views of the Andaman Sea and unique access to private beachfront amenities.,8500000,10000000,Phuket,Thailand,"Phuket, Thailand."
Skypark Elara Lakelands,https://www.banyangroupresidences.com/thailand/phuket/skypark-elara-lakelands-phuket,Banyan Tree,Experience breathtaking panoramic views from your luxurious oasis amidst lush greenery.,"Skypark Elara Lakelands boasts breathtaking panoramic views of lush mountains and serene lakes, complemented by luxurious amenities and unparalleled privacy.",5200000,12000000,Phuket,Thailand,"Phuket, Thailand."
Angsana Residences,https://www.banyangroupresidences.com/vietnam/ho-tram/angsana-residences-ho-tram,Banyan Tree,Experience unparalleled luxury with breathtaking ocean views and private beach access.,"Overlooking pristine beaches and lush greenery, these residences boast unparalleled ocean views, private infinity pools, and direct beach access.",5000000000,16000000000,Hồ Tràm,Vietnam,"Hồ Tràm, Vietnam."
Banyan Tree Residences,https://www.banyangroupresidences.com/vietnam/lang-co/banyan-tree-residences-lang-co,Banyan Tree,Embrace serene luxury in a private villa framed by lush mountains and tranquil lagoons.,"Set against the stunning backdrop of lush mountains and pristine beaches, these residences offer unrivaled luxury and panoramic ocean views.",8000000000,30000000000,Lăng Cô,Vietnam,"Lăng Cô, Vietnam."
Capella Residences,https://www.capellaclubresidences.com/en,Capella,Experience unparalleled luxury with panoramic ocean views from your private sanctuary.,"Offering breathtaking panoramic views of the South China Sea, this residence features private infinity pools and lush tropical gardens.",18000000,20000000,Singapore,Singapore,"Sentosa Island, Singapore: 1 The Knolls, Sentosa Island, Singapore 098297."
Capella Residences,https://www.capellaclubresidences.com/en,Capella,Experience unparalleled luxury with breathtaking skyline views and exquisite architectural design.,"Offering breathtaking skyline views and luxurious amenities, this residence boasts private terraces and unparalleled access to vibrant cultural hotspots.",3000000,100000000,Shanghai,China,"Capella Residences Shanghai, 355 Chang Le Road, Jing'an District, Shanghai, China."
COMO Point Yamu Residences,https://www.comohotels.com/thailand/como-point-yamu,Como,"Embracing panoramic Andaman Sea views, these sleek, designer residences exude serene luxury.","Overlooking the Andaman Sea, these luxurious residences feature private infinity pools and direct access to pristine beaches, ensuring an unparalleled lifestyle.",25000000,15000000,Phuket,Thailand,"225 Moo 7, Paklok, Thalang, Phuket, Thailand."
COMO Uma Canggu,https://www.comohotels.com/bali/como-uma-canggu,Como,Experience unparalleled luxury with breathtaking ocean views and holistic wellness retreats.,"This stunning residence boasts breathtaking ocean views, direct beach access, and exclusive wellness facilities, ensuring an unparalleled retreat experience.",3000,2000000,Bali,Indonesia,"Jl. Pantai Batu Mejan No. 1, Canggu, Kuta Utara, Bali 80361, Indonesia."
"COMO Residences, Palm Jumeriah",https://www.nakheel.com/en/new-launches/como-residences,Como,Experience unparalleled luxury with breathtaking ocean views from your private terrace.,"Overlooking the azure Arabian Gulf, this luxurious residence boasts expansive terraces, private beach access, and unparalleled sunset views.",20000000,30000000,Dubai,UAE,"COMO Residences, Palm Jumeirah, Dubai, UAE."
Conrad Fort Lauderdale Beach Residences,https://www.hilton.com/en/hotels/fllcici-conrad-fort-lauderdale-beach/residences/,Conrad,Experience oceanfront luxury with spacious residences boasting panoramic Atlantic views and elegance.,"These luxurious residences boast breathtaking ocean views, direct beach access, and unparalleled amenities, redefining coastal living in style.",1500000,21000000,Fort Lauderdale,United States,"551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304, United States."
Maverick Golf & Ranch Club,https://maverickgolfclub.com/,Discovery Land Company,Experience unrivaled luxury with panoramic vistas and a championship course challenge.,"This exclusive Texas retreat offers breathtaking panoramic views of rolling hills and a championship golf course, ensuring unparalleled leisure and luxury.",99000,7000000,Maverick,United States,"Maverick Golf & Ranch Club  
1725 E. 1st St.  
Maverick, TX 78852  
United States"
Austin Surf Club,https://austinsurfclub.com/,Discovery Land Company,Experience vibrant community living with stunning lake views and endless outdoor adventures.,"The Austin Surf Club boasts stunning lake views, private access to vibrant local culture, and an unmatched surf-inspired lifestyle.",350000,2000000,Austin,United States,"1600 W 5th St, Austin, TX 78703, United States."
Atlantic Fields Club,https://atlanticfieldsclub.com/,Discovery Land Company,Discover unparalleled luxury with panoramic ocean views and world-class golf amenities.,"The Atlantic Fields Club boasts stunning ocean views, exclusive amenities like a private golf course, and unparalleled access to pristine beaches.",1000000,10000000,Hobe Sound,Florida,"12900 SE Federal Hwy, Hobe Sound, FL 33455, United States."
Discovery Dunes,https://discoverydunes.com/,Discovery Land Company,Bask in luxurious living amidst breathtaking desert landscapes and stunning skyline views.,"Offering breathtaking panoramic views of the Arabian Gulf, this residence features exclusive access to private beaches and lush gardens.",1000000,8000000,Dubai,UAE,
Taymouth Castle Club,https://taymouthcastleclub.com/,Discovery Land Company,Step into timeless grandeur with exclusive access to Scotland's most opulent castle estate.,"Set amidst sprawling grounds, this luxurious residence boasts breathtaking views of the River Tay and exclusive access to a private golf course.",1500000,1000000,Perthshire,UK,"Taymouth Castle, Kenmore, Aberfeldy, Perthshire, Scotland, UK."
Zapotal Beach Club,https://zapotalbeachclub.com/,Discovery Land Company,Discover unparalleled luxury with breathtaking ocean views at your private beachfront haven.,"The Zapotal Beach Club boasts breathtaking ocean views, private beach access, and unique eco-friendly amenities that enhance luxury living.",150,350,Zapotal,Costa Rica,
CostaTerra Golf & Ocean Club,https://www.costaterraclub.com/,Discovery Land Company,"Discover breathtaking ocean views and world-class golf amidst lush, serene landscapes.","CostaTerra Golf & Ocean Club boasts breathtaking ocean views, a world-class golf course, and direct access to pristine beaches.",500000,7500000,Melides,Portugal,
Playa Grande Golf & Ocean Club,https://www.playagrande.com/,Discovery Land Company,"Where lush cliffs meet turquoise waves, discover ultimate luxury with oceanfront fairways.","Set against breathtaking ocean views, this exclusive residence boasts direct beach access and unparalleled golf course proximity, ensuring a luxurious lifestyle.",220000,1000000,Rio San Juan,Dominican Republic,"Carretera Playa Grande, Rio San Juan 57000, Dominican Republic."
Yellowstone Club,https://yellowstoneclub.com/,Discovery Land Company,Discover unparalleled luxury in a private alpine paradise with exclusive ski access.,"This exclusive mountain community boasts unparalleled access to private ski slopes, stunning panoramic views, and luxurious amenities tailored for elite living.",3000000,39000000,Big Sky,United States,"50 Yellowstone Club Trail, Big Sky, MT 59716, United States."
