residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
220 Riverside Boulevard,https://www.trump.com/residential-real-estate-portfolio/220-riverside-boulevard-new-york,"220 Riverside Boulevard, New York, NY 10069, USA",3000000,1900,1500000,6000000,1579,430,2002,completed,high,yes,yes,95,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Children’s Play Area, Cold Storage/Package Rooms","Library, English Billiards Room, Indoor Pool",Concierge Services,Spa,Event Spaces/Banquet Halls,,Trump,"Soaring above the Hudson, this luxury haven offers breathtaking waterfront panoramas.","Overlooking the Hudson River, this residence boasts expansive terraces, breathtaking sunset views, and a private wine cellar for connoisseurs."
240 Riverside Boulevard,https://www.trump.com/residential-real-estate-portfolio/240-riverside-boulevard-new-york,"240 Riverside Boulevard, New York, NY 10069, USA",3800000,2000,2000000,8000000,1900,141,2004,completed,high,yes,yes,94,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Children’s Play Area, Cold Storage/Package Rooms","Indoor Pool, Private Theatre",Concierge Services,Spa,Event Spaces/Banquet Halls,,Trump,Elevate your lifestyle with breathtaking Hudson River views and luxurious amenities.,"240 Riverside Boulevard boasts breathtaking views of the Hudson River, expansive outdoor spaces, and unparalleled access to Riverside Park."
Trump Place 200 Riverside Boulevard,https://www.trump.com/residential-real-estate-portfolio/200-riverside-boulevard-new-york,"200 Riverside Boulevard, New York, NY 10069, USA",2500000,1700,1200000,5000000,1471,363,1997,completed,high,yes,yes,95,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area, Cold Storage/Package Rooms",,Concierge Services,Spa,Event Spaces/Banquet Halls,,Trump,Breathtaking river views and luxurious amenities redefine urban living at this stunning residence.,"This luxurious residence boasts sweeping views of the Hudson River and Central Park, along with exceptional amenities and spacious layouts."
Trump Palace,https://www.trump.com/residential-real-estate-portfolio/trump-palace-new-york,"200 East 69th Street, New York, NY 10021, USA",3000000,2000,1500000,7000000,1500,283,1991,completed,high,yes,yes,94,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Kids' Play Area, Cold Storage/Package Rooms",,On-site Restaurant/Café,Gym,Kids' Play Area,,Trump,"Rising majestically, this architectural gem offers unparalleled panoramic views of Manhattan.","This luxurious residence boasts breathtaking panoramic views of Central Park and the Manhattan skyline, complemented by exclusive amenities and a prime location."
Trump Plaza,https://www.trump.com/residential-real-estate-portfolio/trump-plaza-new-rochelle-new-york,"167 East 61st Street, New York, NY 10065, USA",2200000,1900,1000000,4500000,1158,202,1984,completed,medium,yes,yes,88,New York,United States,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,On-site Restaurant/Café,,Trump,Elevate your lifestyle with breathtaking Central Park views from luxurious heights.,"This luxurious residence boasts breathtaking panoramic views of Central Park and the Manhattan skyline, alongside unparalleled amenities and exclusive services."
Trump Residences at 610 Park Avenue,https://www.trump.com/residential-real-estate-portfolio/trump-610-park-avenue-new-york,"610 Park Avenue, New York, NY 10065, USA",3500000,2400,1800000,8000000,1458,125,1925,completed,high,yes,yes,93,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Event Spaces/Banquet Halls, Cold Storage/Package Rooms",,On-site Restaurant/Café,Concierge Services,Event Spaces/Banquet Halls,,Trump,Indulge in luxurious living with breathtaking skyline views from exquisite residences.,"Offering stunning views of Central Park and luxurious amenities, this residence combines elegance with an unbeatable location on Park Avenue."
Trump Towers,https://www.trump.com/residential-real-estate-portfolio/trump-tower-sunny-isles-florida,"Trump Tower Sunny Isles Beach  
16001 Collins Ave, Sunny Isles Beach, FL 33160, United States",1800000,900,1000000,3500000,2000,813,2008,completed,high,yes,yes,95,Sunny Isles Beach,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Private Beach Access,Spa,Rooftop Amenities,,Trump,"Soaring above pristine shores, this architectural marvel offers unparalleled oceanfront luxury.","Offering breathtaking ocean views, luxurious amenities, and direct beach access, this residence stands out for its exclusive lifestyle experience."
Trump Tower Residences,https://www.trump.com/residential-real-estate-portfolio/trump-towers-istanbul-turkey,"Trump Tower Residences Istanbul, 1. Levent Mahallesi, Büyükdere Cad. No: 1, 34330 Şişli/Istanbul, Turkey",1200000,1000,600000,2500000,1200,205,2010,completed,medium,yes,yes,90,Istanbul,Turkey,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Shopping Center/Retail Stores, Cold Storage/Package Rooms",,Concierge Services,Spa,Shopping Center/Retail Stores,,Trump,"Elevate your lifestyle with breathtaking Bosphorus views from luxurious, modern residences.","Overlooking the Bosphorus, these luxurious residences boast expansive terraces, unparalleled city views, and exclusive access to premium amenities."
Trump Tower Residences,https://www.trump.com/residential-real-estate-portfolio/trump-tower-makati-philippines,"163 H.V. Dela Costa Street, Salcedo Village, Makati City, Philippines",350000,600,200000,1000000,583,260,2017,completed,high,yes,yes,85,Makati City,Philippines,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,On-site Restaurant/Café,Rooftop Amenities,Spa,,Trump,"Soaring above Makati, this architectural masterpiece redefines luxury with panoramic skyline views.","Offering breathtaking views of the Makati skyline and exclusive amenities, this residence redefines luxury living in the city."
Trump Tower City Center,https://www.trump.com/residential-real-estate-portfolio/trump-tower-city-center-white-plains-new-york,"10 City Place, White Plains, NY 10601, USA",750000,600,400000,1500000,1250,212,2005,completed,medium,yes,yes,95,New York,United States,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Tennis Courts, Kids' Play Area, Sports Facilities, Cold Storage/Package Rooms",,Concierge Services,Spa,Tennis Courts,,Trump,Discover luxurious urban living with breathtaking skyline views and unparalleled amenities.,"Rising above the city, this luxurious residence boasts breathtaking skyline views, exceptional amenities, and unparalleled access to vibrant urban life."
Trump Residences,https://www.721fifth.com/,"200 Riverside Boulevard, New York, NY 10069, USA",2500000,1700,1200000,5000000,1471,363,1997,completed,high,yes,yes,95,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area, Cold Storage/Package Rooms",,On-site Restaurant/Café,Concierge Services,Event Spaces/Banquet Halls,,Trump,"Soaring above Manhattan, these luxury residences redefine elegance with breathtaking skyline views.","Offering breathtaking views of the skyline and Central Park, these residences feature luxurious amenities and unparalleled privacy in a prime location."
Trump Plaza,https://www.trump.com/residential-real-estate-portfolio/trump-plaza-new-jersey,"2500 Boardwalk, Atlantic City, NJ 08401, United States",250000,300,150000,500000,833,906,1984,CLOSED,medium,yes,yes,92,Atlantic City,United States,,,,,,,,Trump,"Rising majestically, this property offers breathtaking ocean views and luxurious amenities.","Overlooking the vibrant Atlantic City skyline, this luxurious residence boasts expansive ocean views and direct beach access, ensuring an unparalleled coastal lifestyle."
Trump Bay Street,https://www.trump.com/residential-real-estate-portfolio/trump-bay-street-new-jersey,"1000 Bay Street, Jersey City, NJ 07305, United States",800000,900,500000,1500000,889,447,2017,completed,high,yes,yes,94,Jersey City,United States,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,On-site Restaurant/Café,,Trump,Discover luxurious waterfront living with breathtaking views and unparalleled amenities.,"Situated along the waterfront, this residence boasts breathtaking views of the Manhattan skyline and unparalleled luxury amenities, including a private marina."
Park Tower Stamford,https://www.trump.com/residential-real-estate-portfolio/trump-parc-stamford-connecticut,"101 Park Place, Stamford, CT 06901, United States",1000000,650,600000,2000000,1538,170,2009,completed,medium,yes,yes,94,Stamford,United States,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,On-site Restaurant/Café,,Trump,"Soaring above the city, this architectural gem offers breathtaking panoramic skyline views.","Offering stunning panoramic views of Long Island Sound, this residence boasts exclusive amenities like a rooftop terrace and private beach access."
Trump International,https://www.trump.com/residential-real-estate-portfolio/trump-international-hotel-tower-waikiki-hawaii,"Trump International Hotel Waikiki, 223 Saratoga Road, Honolulu, HI 96815, USA",1200000,1500,700000,2500000,800,462,2009,completed,high,yes,yes,95,Honolulu,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Infinity Pool, Home Office, Private Cabanas, Beach Club","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Rooftop Amenities, Cold Storage/Package Rooms",,Private Beach Access,Spa,Rooftop Amenities,,Trump,Enjoy breathtaking ocean views from every luxurious suite in this paradise.,"Overlooking stunning ocean vistas, this luxurious residence features private balconies, an infinity pool, and unparalleled access to vibrant local culture."
Trump International,https://www.trump.com/residential-real-estate-portfolio/trump-international-hotel-tower-chicago,"Trump International Hotel & Tower Chicago, 401 N Wabash Ave, Chicago, IL 60611, USA",1500000,1200,800000,3500000,1250,486,2009,completed,high,yes,yes,96,Chicago,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Cold Storage/Package Rooms",,Concierge Services,Spa,On-site Restaurant/Café,,Trump,Indulge in breathtaking skyline views from luxurious rooms with floor-to-ceiling windows.,"This luxurious residence boasts stunning panoramic views of Lake Michigan and the Chicago skyline, alongside unparalleled amenities and personalized services."
Trump International,https://www.trump.com/residential-real-estate-portfolio/trump-international-las-vegas-nevada,"2000 Fashion Show Dr, Las Vegas, NV 89109, USA",650000,1000,400000,1200000,650,1282,2008,completed,high,yes,yes,95,Las Vegas,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Cold Storage/Package Rooms",,Concierge Services,Business Center,Event Spaces/Banquet Halls,,Trump,"Soaring above the Strip, this gold-clad sanctuary offers unparalleled luxury and exclusivity.",This luxurious residence boasts stunning panoramic views of the Las Vegas Strip and offers exclusive amenities like a world-class spa and personalized concierge services.
Trump Towers,https://www.trump.com/residential-real-estate-portfolio/trump-tower-sunny-isles-florida,"16001 Collins Ave, Sunny Isles Beach, FL 33160, United States",1800000,900,1000000,3500000,2000,813,2008,completed,high,yes,yes,95,Sunny Isles Beach,United States,,,,,,,,Trump,Soaring elegance meets oceanfront luxury with breathtaking panoramic views of Sunny Isles.,"Situated along a stunning stretch of coastline, this luxurious residence boasts breathtaking ocean views and exceptional amenities, ensuring an unparalleled lifestyle experience."
Trump,https://www.trump.com/residential-real-estate-portfolio/trump-hollywood-florida,"2711 S Ocean Dr, Hollywood, FL 33019, USA",1600000,800,900000,3000000,2000,200,2009,completed,high,yes,yes,94,Hollywood,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Private Beach Access,Spa,Rooftop Amenities,,Trump,Discover luxurious living with breathtaking views of the iconic Hollywood skyline.,"This luxurious residence boasts stunning panoramic views of the iconic skyline and offers exclusive amenities, including a private rooftop lounge and a state-of-the-art fitness center."
Trump Tower,https://www.trump.com/residential-real-estate-portfolio/trump-tower-mumbai-india,"1, Balraj Sahni Marg, Lower Parel, Mumbai, Maharashtra 400013, India",2500000,900,1500000,5000000,2777,78,2019,completed,high,yes,yes,92,Mumbai,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,Trump,"Soaring above Mumbai, this architectural marvel redefines luxury with breathtaking skyline views.","Offering breathtaking views of the Arabian Sea and the city skyline, this luxury residence features unparalleled amenities and exceptional privacy."
Trump Tower,https://www.trump.com/residential-real-estate-portfolio/trump-tower-kolkata-india,"1, Old Park Street, Kolkata, West Bengal 700017, India",700000,200,500000,1000000,3500,137,2025,under construction,medium,yes,yes,90,Kolkata,India,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Game Room / Entertainment Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,Trump,"Soaring above Kolkata, this architectural marvel offers breathtaking panoramic city views.","Rising majestically in the skyline, this luxurious residence boasts breathtaking views of the Hooghly River and unparalleled amenities."
Trump Tower,https://www.trump.com/residential-real-estate-portfolio/trump-tower-delhi-ncr-india,"Netaji Subhash Place, Pitampura, Delhi 110034, India",2000000,500,1200000,4000000,4000,254,2025,under construction,high,yes,yes,91,Delhi,India,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Golf Course Access, Kids' Play Area, Cold Storage/Package Rooms",,Golf Course Access,"Business Center,",Concierge Services,,Trump,This luxurious skyscraper boasts breathtaking views of the vibrant Delhi skyline.,"This luxurious residence boasts breathtaking views of the iconic Aravalli Range and unparalleled amenities, redefining opulence in urban living."
Trump Tower,https://www.trump.com/residential-real-estate-portfolio/trump-towers-pune-india,"22, Mangaldas Road, Pune, Maharashtra 411001, India",1500000,600,1000000,2500000,2500,46,2016,completed,high,yes,yes,93,Pune,India,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Art Gallery/Exhibition Space, Cold Storage/Package Rooms",,Spa,Business Center,Art Gallery/Exhibition Space,,Trump,"Soaring with opulence, this architectural masterpiece redefines luxury in Pune's skyline.","Rising majestically, this luxury residence boasts panoramic views of the lush Sahyadri mountains and the serene waterfront, offering unparalleled elegance and exclusivity."
