residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
The Residences at The St. Regis,https://www.srresidencescairo.com/,"1191 Nile Corniche, Garden City, Cairo, Cairo Governorate, 11519, Egypt",2500000,1250,1200000,6000000,2000,90,2021,completed,high,yes,yes,93,Cairo,Egypt,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Kids' Play Area, Event Spaces/Banquet Halls, Shared Lounges",,Spa,Concierge Services,On-site Restaurant/Café,,St. Regis,Elevate your lifestyle with opulent riverfront living and breathtaking Nile views.,"Offering breathtaking Nile views, this luxurious residence features bespoke interiors, world-class amenities, and unparalleled access to cultural landmarks."
The Residences at The St. Regis Costa Mujeres Resort,https://srrcostamujeres.com/en/,"Boulevard Costa Mujeres, Quintana Roo, 77400, Mexico",3800000,1520,2000000,7000000,2500,50,2026,under construction,high,yes,yes,89,Costa Mujeres,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks",,Private Beach Access,Spa,On-site Restaurant/Café,,St. Regis,Discover unparalleled luxury with breathtaking ocean views and exclusive private beach access.,"Overlooking the Caribbean Sea, these luxurious residences feature expansive terraces, private plunge pools, and unparalleled access to pristine beaches."
"No. 1 Palace Street, The St. Regis Residences",https://numberonepalacestreet.com/,"1 Palace Street, London, SW1E 5BX, United Kingdom",6000000,3000,3500000,12000000,2000,72,2023,completed,medium,yes,yes,95,London,UK,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Elevate your lifestyle in a historic landmark with stunning panoramic views.,"Offering breathtaking views of Buckingham Palace and exquisite interiors, this residence features unparalleled luxury and exclusive amenities."
The St. Regis Residences,https://www.srresidencessunnyislesbeach.com/,"18801 Collins Avenue, Sunny Isles Beach, FL 33160, United States",7000000,2500,4000000,15000000,2800,194,2027,under construction,high,yes,yes,92,Sunny Isles Beach,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Pet-Friendly Facilities",Beach Bar & Grill,Private Beach Access,Spa,On-site Restaurant/Café,,St. Regis,"Rising above pristine shores, this architectural masterpiece redefines oceanfront luxury living.","These luxurious residences boast stunning ocean views, private beach access, and unparalleled amenities, redefining coastal living in style."
The St. Regis Residences,https://miamisrr.com/,"2850 Reverend Dr. Martin Luther King Jr. Blvd, Miami, FL 33137, United States",4500000,2250,2500000,8000000,2000,152,2026,planned,medium,yes,yes,88,Miami,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Pet-Friendly Facilities",,Concierge Services,spa,On-site Restaurant/Café,,St. Regis,Elevate your lifestyle with unparalleled ocean views and bespoke luxury living spaces.,"Offering sweeping waterfront views and private yacht access, this residence redefines luxury living with unparalleled amenities and exquisite design."
The Residences at The St. Regis,https://srresidenceschicago.com/,"181 W. Adams Street, Chicago, IL 60603, USA",3000000,2000,949000,18500000,1500,393,2023,completed,medium,yes,yes,96,Chicago,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Elevate your lifestyle with breathtaking skyline views and unparalleled luxury amenities.,"Offering breathtaking skyline views and unparalleled access to luxury amenities, this residence redefines urban living with sophistication and style."
The Residences at The St. Regis,https://srresidencesloscabos.com/,"Paseo de los Cabos, San José del Cabo, B.C.S., 23400, Mexico",6000000,1500,3000000,12000000,4000,74,2025,under construction,high,yes,yes,91,Los Cabos,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Golf Course Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks, Biking/Running Trails",,Private Beach Access,Golf Course Access,Spa,,St. Regis,"Where desert meets sea, luxurious beachfront villas redefine coastal elegance and serenity.","Offering breathtaking ocean views and unparalleled access to pristine beaches, this residence boasts exclusive amenities and luxurious design."
The Residences at The St. Regis Al Mouj Muscat Resort,https://srresidencesalmouj.com/,"Al Mouj, Muscat, 130, Oman",2800000,1400,1500000,5000000,2000,89,2025,under construction,high,yes,yes,90,Muscat,Oman,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks, Marina/Yacht Club",,Private Beach Access,Spa,Marina/Yacht Club,,St. Regis,Indulge in unparalleled luxury with breathtaking ocean views and exquisite private amenities.,"Overlooking the azure Gulf, this luxurious residence features private beach access and bespoke amenities, ensuring an unparalleled coastal lifestyle."
The St. Regis Residences,https://www.srresidencesboston.com/,"150 Seaport Blvd, Boston, MA 02210, United States",5500000,3055,2000000,25000000,1800,114,2024,completed,medium,yes,yes,96,Boston,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Cold Storage/Package Rooms, Sports Facilities, Cinema/Screening Room",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,"Overlooking Boston Harbor, these waterfront residences redefine luxury with breathtaking views.","This luxurious residence boasts stunning waterfront views, personalized concierge services, and direct access to Boston's vibrant cultural scene."
The Residences at The St. Regis,https://www.stregisklresidences.com/,"6 Jalan St. Regis, Kuala Lumpur, 50450, Malaysia",2500000,1250,1800000,4000000,2000,160,2018,completed,high,yes,yes,94,Kuala Lumpur,Malaysia,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Discover unparalleled luxury with breathtaking skyline views from your private oasis.,"Offering breathtaking skyline views and luxurious amenities, this residence features private rooftop gardens and unparalleled access to vibrant city life."
The Residences at The St. Regis,https://marriottresidences.com/luxury_brand/st-regis-residences/?utm_source=residences-referral,"Saryarka Avenue 3, Astana, 010000, Kazakhstan",1800000,900,1000000,3500000,2000,40,2017,completed,medium,yes,yes,92,Astana,Kazakhstan,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Luxurious living harmonizes with stunning city skyline views in an architectural masterpiece.,"Offering breathtaking views of the city skyline and the nearby river, this residence features unparalleled luxury amenities and personalized services."
The Residences at The St. Regis,https://www.88westpacesferry.com/,"88 West Paces Ferry Road NW, Atlanta, GA 30305, United States",4000000,1600,2500000,7000000,2500,53,2009,completed,medium,yes,yes,95,Atlanta,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Private Garage, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls","Pool Piazza, Outdoor Fireplace, Billiards Room",Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Elevated living meets timeless elegance with private sky pools and panoramic views.,"Offering breathtaking skyline views and unparalleled access to luxury amenities, this residence redefines sophisticated urban living in Atlanta."
The Residences at The St. Regis,https://eaglehillsjordan.com/the-residences-at-the-st-regis-amman/,"5th Circle, Shafiq Al-Hayek Street, Abdoun, Amman, 11181, Jordan",2200000,1100,1500000,4000000,2000,79,2018,completed,high,yes,yes,95,Amman,Jordan,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Private Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area, Cinema/Screening Room, Shopping Center/Retail Stores",Indoor and Outdoor Pools,Concierge Services,Spa,Shopping Center/Retail Stores,,St. Regis,Elevate your lifestyle with unparalleled luxury and panoramic city views.,"The Residences in Amman boast breathtaking panoramic views of the city and the surrounding hills, complemented by unparalleled luxury amenities and personalized services."
The Residences at The St. Regis Bahia Beach Resort,https://www.bahiabeachpuertorico.com/residences,"State Road 187, Km 4.2, Río Grande, PR 00745, Puerto Rico",5500000,1375,3000000,10000000,4000,65,2010,completed,high,yes,yes,94,Río Grande,Puerto Rico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Golf Course Access, Housekeeping Services, Spa, Tennis Courts, Kids' Play Area, Green Spaces/Parks, Biking/Running Trails",,Private Beach Access,Golf Course Access,Spa,,St. Regis,Discover breathtaking oceanfront living amidst lush tropical landscapes and world-class amenities.,"Offering breathtaking ocean views and direct access to a private beach, these residences feature luxurious amenities and unparalleled tranquility."
The Residences at The St. Regis,https://www.belgradewaterfront.com/en/properties/the-residences-at-the-st-regis-belgrade/,"2a Bulevar Kralja Aleksandra, Belgrade, 11000, Serbia",3500000,1750,2000000,7000000,2000,220,2024,completed,high,yes,yes,96,Belgrade,Serbia,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges","Indoor Pool, Observation Deck",Concierge Services,Spa,Business Center,,St. Regis,"Elevated above the city, these opulent residences redefine riverside luxury living.","Offering breathtaking views of the Sava River and a prime location near cultural landmarks, this residence boasts unparalleled luxury amenities and bespoke services."
The Residences at The St. Regis,https://www.thestregisbermudaresidences.com/,"1 A Long Bay, St. George's, DD03, Bermuda",3500000,1750,2000000,6000000,2000,30,2021,completed,high,yes,yes,94,St. George's,Bermuda,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Golf Course Access, Housekeeping Services, Spa, Kids' Play Area, Event Spaces/Banquet Halls, Green Spaces/Parks",,Private Beach Access,Golf Course Access,Spa,,St. Regis,Immerse in unparalleled oceanfront luxury with private infinity pools and panoramic views.,"Overlooking stunning turquoise waters, these residences boast expansive private terraces, personalized concierge services, and unparalleled access to pristine beaches."
"The Residences at The St. Regis Marsa Arabia Island, The Pearl Qatar",https://marsaarabiaisland.com/,"Marsa Arabia Island, The Pearl, Doha, 24966, Qatar",4000000,1600,2500000,7500000,2500,83,2025,under construction,high,yes,yes,92,Doha,Qatar,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks, Marina/Yacht Club",,Private Beach Access,Marina/Yacht Club,Spa,,St. Regis,Indulge in luxurious waterfront living with breathtaking panoramic views and private beach access.,"Offering breathtaking views of the Arabian Gulf and exclusive access to private beaches, this residence redefines luxury living."
The Residences at The St. Regis,https://www.rajawaliplace.com/theresidences,"Jl. Kebon Sirih No. 7, Menteng, Jakarta Pusat, Jakarta 10340, Indonesia",5000000,2000,3000000,10000000,2500,164,2023,completed,high,yes,yes,95,Jakarta,Indonesia,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Wine Cellar / Wine Room, Private Garage, Game Room / Entertainment Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Cinema/Screening Room, Wine Tasting Room, Green Spaces/Parks",Sculpture Garden,Concierge Services,Spa,Wine Tasting Room,,St. Regis,Indulge in opulent urban living with panoramic skyline views and bespoke elegance.,"The Residences in Jakarta boast stunning panoramic city views, exceptional amenities, and unparalleled access to luxury shopping and dining experiences."
The Residences at The St. Regis Deer Valley,https://srdvresidences.com/,"2300 Deer Valley Drive East, Park City, UT 84060, United States",6000000,2400,3500000,12000000,2500,67,2009,completed,high,yes,yes,95,Park City,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Wine Cellar / Wine Room, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls","Ski-in/Ski-out Access, Ski Valet Service, Deer Crest Club Membership",Concierge Services,Spa,Event Spaces/Banquet Halls,,St. Regis,Indulge in unparalleled mountain luxury with breathtaking alpine views and bespoke amenities.,"Boasting breathtaking mountain vistas and direct ski-in/ski-out access, these residences offer unparalleled luxury and exclusive amenities."
The Residences at The St. Regis Cap Cana,https://srresidencescapcana.com/luxury-capa-cana-real-estate-marriott-residences/,"Cap Cana, Juanillo, Punta Cana, La Altagracia, 23000, Dominican Republic",4500000,1500,2500000,8000000,3000,70,2026,under construction,high,yes,yes,90,Punta Cana,Dominican Republic,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Golf Course Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks, Marina/Yacht Club, Sports Facilities",,Private Beach Access,Golf Course Access,Spa,,St. Regis,Indulge in luxurious beachfront living with breathtaking ocean views and exclusive amenities.,"Offering breathtaking ocean views, these luxurious residences feature private pools and direct beach access, ensuring unparalleled exclusivity."
"The St. Regis Residences, Financial Center Road",https://www.srresidencesdubai.com/?utm_source=marriott&utm_medium=website,"Financial Center Road, Downtown Dubai, Dubai, 416573, United Arab Emirates",5000000,2500,3000000,10000000,2000,53,2025,under construction,high,yes,yes,92,Dubai,UAE,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office, Private Elevator, Private Pool, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area, Cinema/Screening Room",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Elevate your lifestyle with opulent waterfront living and breathtaking skyline views.,"The St. Regis Residences offer breathtaking panoramic views of the Arabian Gulf and Burj Khalifa, complemented by unparalleled luxury amenities."
The St. Regis Residences,https://www.cdlhomes.com.sg/stregisresidences/,"29 Tanglin Road, Singapore, 247911, Singapore",6000000,2400,4000000,10000000,2500,173,2008,completed,high,yes,yes,95,Singapore,Singapore,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Private Pool, Home Office, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Tennis Courts, Kids' Play Area, Event Spaces/Banquet Halls, Green Spaces/Parks",24-Hour Butler Service,Concierge Services,Spa,Tennis Courts,,St. Regis,Elevate your lifestyle with opulent city views from your private sky sanctuary.,"Offering breathtaking views of Marina Bay, this residence features bespoke interiors and unparalleled access to luxurious amenities."
