residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
"Kempinski Residences, Nef Reserve Gölköy",https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-nef-reserve-golkoy-bodrum,"Demirbükü Bay, Gölköy, Bodrum, Türkiye",3000000,1250,2000000,5000000,2400,150,2026,under construction,high,yes,yes,95,Bodrum,Turkey,"Private pools, fitness center, Italian restaurant, private 270-meter beach","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, yoga decks, massage cabanas, private yacht access",270-meter private beach with three jetties,106 villas with Aegean Sea views,Italian restaurant by Da Mario,11,Kempinski,Discover luxurious living with breathtaking sea views and private beach access.,"Offering breathtaking panoramic views of the Aegean Sea, these residences feature private pools and direct beach access for ultimate luxury."
Kempinski Residences,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-alacati-cesme,Alaçatı Beachfront,2500000,1250,1500000,4000000,2000,130,2024,under construction,high,yes,yes,95,Çeşme,Turkey,"Private pools, fitness center, beach club, private terraces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, water sports, spa facilities, valet parking",Private beach club on Alaçatı coast,30 exclusive villas with private pools,Water sports and spa wellness facilities,11,Kempinski,"Where timeless Aegean charm meets contemporary luxury, every detail exudes coastal elegance.","Offering breathtaking panoramic views of the Aegean Sea, this residence features private terraces and an exquisite infinity pool."
"The Residences, at 8 Conlay Kempinski Hotel",https://www.kempinski.com/en/residences/private-residences/the-residences-at-8-conlay-kempinski-hotel-kuala-lumpur,"The Residences at 8 Conlay, Kempinski Hotel, Jalan Conlay, Kuala Lumpur City Centre",1000000,1200,650000,2400000,833,1046,2027,completed,high,yes,yes,95,Kuala Lumpur,Malaysia,"Private cinema, fitness center, 25-meter lap pool, residents’ sky park","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, spa facilities, valet parking, shuttle service",25-meter lap pool at Water Lounge on 26th floor,YOO8 twin towers with Steve Leung and Kelly Hoppen interiors,Five-star Kempinski concierge service with Lady in Red,11,Kempinski,"Elevate your lifestyle with panoramic skyline views from luxurious, artfully designed residences.","The Residences at 8 Conlay offer breathtaking panoramic views of the iconic Petronas Towers and lush cityscape, complemented by unparalleled luxury amenities."
Kempinski Balmumcu Residences,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-balmumcu-istanbul,"Zincirlikuyu Yolu, Mecidiye Mah., Balmumcu, Beşiktaş",2500000,1250,1525000,5000000,2000,166,2024,completed,high,yes,yes,95,Istanbul,Turkey,"Private terraces, fitness center, residents’ lounge, outdoor pool","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, spa facilities, kids’ play area, sauna, valet parking",Outdoor pool with Bosphorus views,Dedicated concierge in green valley setting,150 exclusive properties across five buildings,11,Kempinski,Discover luxurious living with breathtaking Bosphorus views and exquisite contemporary design.,"Offering breathtaking Bosphorus views and luxurious amenities, this residence combines modern elegance with a prime location near Istanbul's cultural gems."
"Kempinski Residences, The Creek",https://www.kempinski.com/en/residences/private-residences/kempinski-residences-the-creek-dubai,"Healthcare City Phase 2, Al Jaddaf",2000000,1250,599000,11445000,1600,285,2025,under construction,high,yes,yes,95,Dubai,UAE,"Private balconies, fitness center, wellness center, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sauna, rooftop terrace, valet parking",Rooftop pool with Dubai skyline views,Wellness center with sauna and steam rooms,Prime location in Al Jaddaf cultural hub,10,Kempinski,"Overlooking serene waterfronts, these ultra-luxurious residences blend timeless elegance with modern innovation.","Overlooking the serene waters of Dubai Creek, these luxurious residences boast private terraces, expansive layouts, and unparalleled skyline views."
Kempinski Laje de Pedra Brazil,https://www.kempinski.com/en/development/upcoming-openings/kempinski-laje-de-pedra-canela-brazil,"Rua das Flores, 222",1000000,1250,245000,3500000,800,357,2026,under construction,high,yes,yes,95,Canela,Brazil,"Private balconies, fitness center, rooftop pool, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, hiking trails, yoga studio, valet parking",Rooftop pool with Gramado valley views,Eco-luxury villas in native forest setting,Gastronomic restaurant with local ingredients,11,Kempinski,"Overlooking breathtaking canyons, this luxury retreat offers unrivaled panoramic views.","Overlooking breathtaking mountains and lush valleys, this residence boasts a stunning spa, gourmet dining, and unparalleled nature access."
"Barbaros Reserve Bodrum Residences, managed by Kempinski",https://www.kempinski.com/en/residences/private-residences/barbaros-reserve-bodrum-residences,"Gerenkuyu Mevkii, Kızılağaç Koyu, Yalıçiftlik, Bodrum 48400, Türkiye",3500000,1750,2500000,5000000,2000,42,2023,completed,high,yes,yes,95,Bodrum,Turkey,"Private pools, fitness center, private beach, award-winning spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sea shuttle to Bodrum Marina, pet care, private yacht access",Private blue-flagged beach on Gökova Bay,Six dining venues with Aegean and Pan-Asian cuisine,"5,500 sq m Barbaros Spa",11,Kempinski,Indulge in breathtaking sea views and exquisite design at this luxurious haven.,"Overlooking the Aegean Sea, these residences boast private beach access, infinity pools, and unparalleled sunset views in Bodrum."
The Residences at Sindhorn Kempinski Hotel,https://www.kempinski.com/en/residences/private-residences/the-residences-at-sindhorn-kempinski-hotel-bangkok,"80 Soi Tonson, Lumphini, Pathum Wan, Bangkok 10330, Thailand.",1250000,7670,650000,14638000,1600,231,2020,completed,high,no,yes,95,Bangkok,Thailand,"Private cinema, fitness center, residents’ lounge, rooftop saltwater pool","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, sauna, office space, shuttle service",Rooftop infinity edge saltwater pool with Lumpini Park views,Residence Lounge on 30th floor with metropolitan vistas,Sindhorn Village retail and dining access,11,Kempinski,Elevate your lifestyle with serene park views and unparalleled urban sophistication.,"Overlooking lush greenery and the vibrant cityscape, this residence boasts unparalleled luxury with expansive terraces and exclusive access to a private garden oasis."
Kempinski Residences Astoria,https://www.kempinski.com/en/residences/private-residences/kempinski-residences-astoria-istanbul,"Büyükdere Cad. No: 127, Esentepe, Şişli",1000000,2500,500000,2000000,400,120,2007,completed,high,yes,yes,95,Istanbul,Turkey,"Private terraces, fitness center, wellness center, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, kids’ play area, rooftop terrace, valet parking",Outdoor pool with city views,Prime Şişli location near business district,Wellness center with sauna and spa facilities,10,Kempinski,Enjoy breathtaking Bosphorus views from luxurious suites in Istanbul's historic heart.,"Overlooking the Bosphorus, this luxurious residence boasts expansive terraces, exquisite design, and unparalleled access to Istanbul's vibrant culture."
"Bellevue Residences, Managed by Kempinski",https://www.kempinski.com/en/residences/private-residences/bellevue-residences-istanbul-managed-by-kempinski,"Nispetiye Mah. Nispetiye Cd. No: 31, Etiler, Beşiktaş",2500000,2500,1500000,5000000,1000,66,2008,completed,high,yes,yes,95,Istanbul,Turkey,"Private balconies, fitness center, residents’ lounge, wellness center","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, kids’ play area, spa facilities, valet parking",Indoor pool with urban vistas,Elite Etiler location with Bosphorus proximity,Spa and sauna wellness facilities,10,Kempinski,"Indulge in breathtaking Bosphorus views from luxurious, elegantly designed waterfront residences.","The Bellevue Residences in Istanbul boast breathtaking Bosphorus views and luxurious amenities, offering an unparalleled urban living experience."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/bangkok,"215 Soi Charoen Nakhon 1, Charoen Nakhon Rd, Khlong Ton Sai, Khlong San",5000000,1590,1465000,13964000,3150,146,2019,completed,high,no,yes,95,Bangkok,Thailand,"Private cinema, fitness center, holistic spa, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, sauna, jacuzzi, library",Rooftop infinity pool with Chao Phraya River views,"Access to Mandarin Oriental, Bangkok’s holistic spa",Eight dining venues including Le Normandie by Alain Roux,11,Mandarin Oriental,Indulge in riverfront living with timeless elegance and unrivaled panoramic views.,"Offering breathtaking river views and unparalleled access to cultural landmarks, this residence combines luxury living with vibrant city life."
Mandarin Oriental Residences,https://www.mandarinoriental.com/en/residences/current/barcelona,"Barcelona  
Passeig de Gràcia, 111",3200000,2700,3185000,43500000,1184,34,2022,completed,high,yes,yes,95,Barcelona,Spain,"Private terraces, fitness center, rooftop garden, wellness center","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, business center, spa facilities, residents’ lounge, valet parking",Rooftop pool with Gaudí-inspired ceramic paving,Secluded rooftop garden with orange trees,"Access to Mandarin Oriental, Barcelona’s dining and spa",11,Mandarin Oriental,Elevate your lifestyle with panoramic city views and exquisite Catalan elegance.,"Offering breathtaking views of the city skyline and iconic landmarks, these residences boast unparalleled luxury with personalized services and exquisite design."
Mandarin Oriental Residences,https://www.mandarinoriental.com/en/residences/current/beverly-hills,"9200 Wilshire Blvd, Beverly Hills, Los Angeles, United States",7000000,2500,2900000,43500000,2800,54,2022,completed,high,yes,yes,95,Los Angeles,United States,"Private cinema, fitness center, rooftop pool, spa library","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, rooftop bar, valet parking",40-foot rooftop pool with cabanas and daybeds,Culinary experiences by Michelin-starred chef Daniel Boulud,Private cinema for resident screenings,10,Mandarin Oriental,Indulge in luxurious living with breathtaking views and exquisite architectural elegance.,These luxurious residences boast breathtaking views of the Hollywood Hills and unparalleled access to exclusive concierge services and amenities.
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/bodrum,"Göltürkbükü Mahallesi, 314. Sokak No:10, Cennet Koyu",5000000,1250,2000000,15000000,4000,214,2014,completed,high,yes,yes,95,Bodrum,Turkey,"Private pools, fitness center, two private beaches, award-winning spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, private yacht access, boat shuttle, residents-only clubhouse",Two private beaches at Paradise Bay,Award-winning spa with Turkish hammam,Cennet Clubhouse with exclusive pool and restaurant,11,Mandarin Oriental,Luxuriate in breathtaking Aegean Sea views from ultra-exclusive hillside villas.,"Offering breathtaking panoramic views of the Aegean Sea, this residence features private infinity pools and unparalleled access to a secluded beach."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/boston,"Boston  
776 Boylston Street",3500000,2500,1900000,15000000,1400,74,2008,completed,high,yes,yes,95,Boston,United States,"Private terraces, fitness center, Forbes Five-Star spa, private cinema","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, sauna, in-residence dining, valet parking","16,000 sq ft Forbes Five-Star spa with vitality pool",Bar Boulud French-inspired bistro,State-of-the-art fitness center with Back Bay views,10,Mandarin Oriental,Elevate your lifestyle with breathtaking city views and unparalleled luxury amenities.,"Offering breathtaking views of the Boston skyline and harbor, this residence features unparalleled amenities and personalized services."
"Mandarin Oriental Residences, Fifth Avenue",https://www.mandarinoriental.com/en/residences/current/fifth-avenue-new-york,"Mandarin Oriental Residences,
685 Fifth Avenue",5000000,2500,2500000,22000000,2000,65,2023,completed,high,yes,yes,95,New York,United States,"Private rooftop terrace, fitness center, spa facilities, private dining room","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, residents’ lounge, valet parking",Rooftop pool with Central Park views,Private dining room with curated menus,Spa facilities with sauna and steam room,10,Mandarin Oriental,Indulge in luxurious living with breathtaking Central Park views and unparalleled elegance.,"Offering breathtaking views of Central Park and the iconic skyline, this residence features unparalleled luxury amenities and personalized services."
One Hyde Park: The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/hyde-park-london,100 Knightsbridge,20000000,5000,7000000,75000000,4000,85,2011,completed,high,yes,yes,95,London,UK,"Private cinema, fitness center, award-winning spa, residents’ wine cellar","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, golf simulator, squash court",21-meter stainless steel ozone pool,Award-winning spa with holistic treatments,Private dining by Heston Blumenthal,10,Mandarin Oriental,Unrivaled luxury meets panoramic Hyde Park views in London’s most exclusive address.,"Overlooking the serene Knightsbridge, this luxury residence boasts unparalleled panoramic views, a private spa, and 24-hour concierge services."
The Residences at Mandarin Oriental Mayfair,https://www.mandarinoriental.com/en/residences/current/mayfair-london,"22 Hanover Square, London W1S 1JH, United Kingdom.",6000000,2800,2500000,20000000,2143,77,2024,completed,high,yes,yes,95,London,UK,"Private terraces, fitness center, wellness spa, private dining room","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, residents’ lounge, valet parking",Indoor pool with Mayfair skyline views,Akira Back’s innovative dining experience,Wellness spa with sauna and steam room,10,Mandarin Oriental,Indulge in unparalleled luxury with sweeping views of London's iconic skyline.,"Offering breathtaking views of Hyde Park and exclusive access to personalized concierge services, this residence redefines luxury living in London."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/macau,"N.º 945, Avenida Dr. Sun Yat Sen",2000000,1250,1200000,5000000,1600,92,2010,completed,high,yes,yes,94,Macau,China,"Private balconies, fitness center, award-winning spa, private meeting spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, in-residence dining, valet parking",Outdoor pool with Nam Van Lake views,Vida Rica Restaurant with Cantonese cuisine,Mandarin Oriental Spa with holistic treatments,10,Mandarin Oriental,"Indulge in breathtaking views and unparalleled luxury within a vibrant, cultural oasis.","Overlooking the shimmering Cotai Strip, these residences boast unparalleled luxury with private pools, exquisite dining options, and bespoke services."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/muscat,Shatti Al Qurum Way No. 2827,1500000,1250,800000,4000000,1200,156,2024,completed,high,yes,yes,94,Muscat,Oman,"Private terraces, fitness center, beachfront spa, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sauna, beach access, valet parking",Outdoor infinity pool with Arabian Sea views,Beachfront dining with Omani cuisine,Dedicated kids’ pool and club area,11,Mandarin Oriental,Immerse in unrivaled coastal elegance where modern luxury meets Omani heritage.,"Offering breathtaking views of the Gulf and the Al Hajar Mountains, this residence features luxurious amenities and private beach access."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/new-york,80 Columbus Circle,7500000,2800,3500000,25000000,2680,64,2004,completed,high,yes,yes,95,New York,United States,"Private terraces, fitness center, award-winning spa, private dining room","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, residents’ lounge, valet parking",75-foot lap pool with Central Park views,Mandarin Oriental Spa with vitality pool,MO Lounge with curated dining,10,Mandarin Oriental,Elevate your lifestyle with breathtaking Central Park views and unparalleled luxury.,"Offering breathtaking views of Central Park and the skyline, this residence features bespoke services and luxurious amenities that redefine urban living."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/current/taipei,"158 Dunhua North Road, Songshan District",2500000,1200,1500000,5000000,2083,20,2014,completed,high,yes,yes,94,Taipei,Taiwan,"Private balconies, fitness center, 3,500 sqm spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, business facilities, valet parking",Outdoor pool in financial district setting,Jade Lounge with curated dining,"3,500 sqm spa with holistic treatments",10,Mandarin Oriental,Luxurious urban living seamlessly blends with breathtaking views of Taipei's skyline.,"Offering breathtaking views of Taipei 101, this residence boasts luxurious amenities and direct access to vibrant city life."
The Residences at Mandarin Oriental,https://www.mandarinoriental.com/en/residences/upcoming/boca-raton,105 East Camino Real,7000000,2500,2900000,27500000,2800,85,2025,under construction,high,yes,yes,94,Boca Raton,United States,"Private rooftop pool, fitness center, holistic spa, private cinema","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, sauna, steam room, meditation garden, valet parking",Rooftop pool with ocean and golf course views,Holistic spa with wellness treatments,Access to Via Mizner Golf & City Club,12,Mandarin Oriental,"Unveiling timeless elegance, this sanctuary blends oceanic serenity with bespoke luxury living.","Offering breathtaking views of the golf course and direct access to a luxurious resort, this residence redefines upscale living."
