residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,associated_brand,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,brief_subtitle,brief_description
Banyan Tree Residences,https://www.banyangroupresidences.com/vietnam/lang-co/banyan-tree-residences-lang-co,"Lăng Cô, Vietnam.",2000000,1250,1500000,3000000,1600,40,2013,completed,high,yes,yes,90,Lăng Cô,Vietnam,Banyan Tree,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, Banyan Tree Group’s Global Holiday Exchange Program, Banyan Tree Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Banyan Tree Gallery, Airport Shuttle, Bicycle Rental, Chapel, Concierge, Room Service, Car Rental, Children's Play Area, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Concierge, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Tennis Court, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills",Swimming Pool,Gym,Golf Course Access,,Embrace serene luxury in a private villa framed by lush mountains and tranquil lagoons.,"Set against the stunning backdrop of lush mountains and pristine beaches, these residences offer unrivaled luxury and panoramic ocean views."
Capella Residences,https://www.capellaclubresidences.com/en,"1 The Knolls, Sentosa Island, Singapore 098297",3500000,1944,1500000,7500000,1800,81,2008,completed,high,yes,yes,90,Singapore,Singapore,Capella,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, Capella Group’s Global Holiday Exchange Program, Capella Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Capella Gallery, Airport Shuttle, Bicycle Rental, Chapel, Concierge, Room Service, Car Rental, Children's Play Area, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Concierge, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Tennis Court, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills",Swimming Pool,Gym,Spa,,Experience unparalleled luxury with panoramic ocean views from your private sanctuary.,"Offering breathtaking panoramic views of the South China Sea, this residence features private infinity pools and lush tropical gardens."
Capella Residences,https://www.capellaclubresidences.com/en,"480 West Jianguo Road, Xuhui District",5000000,1429,3000000,8000000,3500,40,2017,completed,high,no,yes,95,Shanghai,China,Capella,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, Capella Group’s Global Holiday Exchange Program, Capella Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Capella Gallery, Airport Shuttle, Bicycle Rental, Chapel, Concierge, Room Service, Car Rental, Children's Play Area, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Concierge, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Tennis Court, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills",Swimming Pool,Gym,Golf Course Access,,Experience unparalleled luxury with breathtaking skyline views and exquisite architectural design.,"Offering breathtaking skyline views and luxurious amenities, this residence boasts private terraces and unparalleled access to vibrant cultural hotspots."
COMO Point Yamu Residences,https://www.comohotels.com/thailand/como-point-yamu,"225 Moo 7, Paklok, Thalang, Phuket, Thailand.",2000000,1333,1500000,3000000,1500,27,2013,completed,high,yes,yes,95,Phuket,Thailand,Como,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, COMO Group’s Global Holiday Exchange Program, COMO Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, COMO Gallery, Airport Shuttle, Bicycle Rental, Chapel, Concierge, Room Service, Car Rental, Children's Play Area, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Concierge, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Tennis Court, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills",Swimming Pool,Gym,Golf Course Access,,"Embracing panoramic Andaman Sea views, these sleek, designer residences exude serene luxury.","Overlooking the Andaman Sea, these luxurious residences feature private infinity pools and direct access to pristine beaches, ensuring an unparalleled lifestyle."
COMO Uma Canggu,https://www.comohotels.com/bali/como-uma-canggu,"Jl. Pantai Batu Mejan No. 1, Canggu, Kuta Utara, Bali 80361, Indonesia.",1000000,714,500000,2500000,1400,67,2018,completed,high,yes,yes,95,Bali,Indonesia,Como,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access, Concierge Services, Parking Space/Garage, Tennis Courts, On-site Restaurant/Café, Kids' Play Area, Pet-Friendly Facilities, Event Spaces/Banquet Halls, Wellness Programs, Valet Parking, Business Center, Housekeeping Services, Green Spaces/Parks, Art Gallery/Exhibition Space, Sports Facilities","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, COMO Group’s Global Holiday Exchange Program, COMO Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, COMO Gallery, Airport Shuttle, Chapel, Car Rental, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills

",Swimming Pool,Green Spaces/Parks,Sports Facilities,,Experience unparalleled luxury with breathtaking ocean views and holistic wellness retreats.,"This stunning residence boasts breathtaking ocean views, direct beach access, and exclusive wellness facilities, ensuring an unparalleled retreat experience."
"COMO Residences, Palm Jumeriah",https://www.nakheel.com/en/new-launches/como-residences,The Crescent,10000000,1800,5700000,22000000,5556,76,2027,under construction,high,yes,yes,95,Dubai,UAE,Como,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access, Concierge Services, Parking Space/Garage, Tennis Courts, On-site Restaurant/Café, Kids' Play Area, Pet-Friendly Facilities, Event Spaces/Banquet Halls, Wellness Programs, Valet Parking, Business Center, Housekeeping Services, Green Spaces/Parks, Art Gallery/Exhibition Space, Sports Facilities​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, COMO Group’s Global Holiday Exchange Program, COMO Hotels & Resorts Worldwide Owner’s Discounts & Privileges, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, COMO Gallery, Airport Shuttle, Bicycle Rental, Chapel, Concierge, Room Service, Car Rental, Children's Play Area, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Concierge, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Tennis Court, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills​
",Swimming Pool,Gym,Art Gallery/Exhibition Space,,Experience unparalleled luxury with breathtaking ocean views from your private terrace.,"Overlooking the azure Arabian Gulf, this luxurious residence boasts expansive terraces, private beach access, and unparalleled sunset views."
Conrad Fort Lauderdale Beach Residences,https://www.hilton.com/en/hotels/fllcici-conrad-fort-lauderdale-beach/residences/,"551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304, United States.",1200000,1200,650000,2500000,1000,181,2017,completed,high,yes,yes,95,Fort Lauderdale,United States,Conrad,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access, Concierge Services, Parking Space/Garage, Tennis Courts, On-site Restaurant/Café, Kids' Play Area, Pet-Friendly Facilities, Event Spaces/Banquet Halls, Wellness Programs, Valet Parking, Business Center, Housekeeping Services, Green Spaces/Parks, Art Gallery/Exhibition Space, Sports Facilities
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, 5-Star Resort Facilities at Doorstep, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Airport Shuttle, Bicycle Rental, Chapel, Car Rental, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills
",Swimming Pool,Gym,Golf Course Access,,Experience oceanfront luxury with spacious residences boasting panoramic Atlantic views and elegance.,"These luxurious residences boast breathtaking ocean views, direct beach access, and unparalleled amenities, redefining coastal living in style."
Maverick Golf & Ranch Club,https://maverickgolfclub.com/,Fort Worth,2500000,833,1500000,5000000,3000,500,2026,under construction,medium,yes,yes,90,Maverick,United States,Discovery Land Company,,"Golf Course Access, Concierge Services, Security Staff, Parking Space/Garage, Tennis Courts, On-site Restaurant/Café, Event Spaces/Banquet Halls, Wellness Programs
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Airport Shuttle, Chapel, Car Rental, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills",Golf Course Access,Security Staff,Event Spaces/Banquet Halls,,Experience unrivaled luxury with panoramic vistas and a championship course challenge.,"This exclusive Texas retreat offers breathtaking panoramic views of rolling hills and a championship golf course, ensuring unparalleled leisure and luxury."
Austin Surf Club,https://austinsurfclub.com/,"6020 FM 973, Del Valle",2000000,1000,1500000,3000000,2000,100,2027,planned,high,yes,yes,92,Austin,United States,Discovery Land Company,,"Concierge Services, Security Staff, On-site Restaurant/Café, Event Spaces/Banquet Halls, Wellness Programs, Parking Space/Garage​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Chapel, Car Rental, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills​
",Wellness Programs,Concierge Services,On-site Restaurant/Café,,Experience vibrant community living with stunning lake views and endless outdoor adventures.,"The Austin Surf Club boasts stunning lake views, private access to vibrant local culture, and an unmatched surf-inspired lifestyle."
Atlantic Fields Club,https://atlanticfieldsclub.com/,2645 SE Bridge Road,3500000,1200,2000000,7000000,2917,317,2026,under construction,medium,yes,yes,94,Hobe Sound,Florida,Discovery Land Company,,"Golf Course Access, Concierge Services, Security Staff, Parking Space/Garage, Tennis Courts, On-site Restaurant/Café, Event Spaces/Banquet Halls, Wellness Programs​
","Private Infinity Pools, Lagoon Views, Heated Jacuzzi, Spacious Indoor-Outdoor Living Areas, Full Furniture and Accessory Package, Hotel-Managed Rental Program, Fitness Centre, Yoga Pavilion, Destination Dining, Water Sports Centre, Archery, Cooking Classes, Bicycle Rental, Meeting Rooms, Wedding Venue, Chapel, Car Rental, 24-Hour Front Desk, Cable/Satellite TV, Refrigerator, Mini-Bar, Hair Dryer, Coffee Maker, Gift Shop, Hot Tub or Spa, Temperature Checks Available to Guests, Wheelchair Access, Swimming Pool (Indoor), Babysitting Services, Masks Available to Guests, Swimming Pool (Outdoor), Sundries Shop, Alarm Clock, Guests Provided with Free Hand Sanitizer, DVD Player, Individually-Wrapped Food Options Available, Microwave, In-Room Safe, Social Distancing Measures in Place, Mini-Bar, Internet Access (Free Public Access), ATM Machine, Currency Exchange, Acrylic Shield Between Guests and Staff in Main Contact Areas, Parking (Valet), BBQ Grills​
",Golf Course Access,Concierge Services,Security Staff,,Discover unparalleled luxury with panoramic ocean views and world-class golf amenities.,"The Atlantic Fields Club boasts stunning ocean views, exclusive amenities like a private golf course, and unparalleled access to pristine beaches."
