residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
The Residences at Meliá Seychelles,https://theresidencesatmeliaseychelles.com/,"Seafront Estate, Roche Caiman, Mahé",1000000,1000,500000,1500000,1000,68,2026,under construction,high,yes,yes,95,Victoria,Seychelles,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, sauna",Oceanfront pool with Indian Ocean views,Signature dining with Seychellois cuisine,Wellness spa with sauna and water sports,11,ME by Meliá,"Luxury villas blend seamlessly with lush tropical landscapes, offering breathtaking ocean serenity.","Offering breathtaking ocean views and private infinity pools, this residence provides an unparalleled blend of luxury and tranquility."
The Residences at Meliá Phuket Karon,https://meliaphuketkaronresidences.com/,"Karon Beach Road, Karon, Muang",750000,1250,225000,2500000,600,73,2025,under construction,high,yes,yes,95,Phuket,Thailand,"Private balconies, fitness center, beachfront lounge, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, sauna",Oceanfront infinity pool with Andaman Sea views,Signature dining with Thai cuisine,Wellness spa with sauna and water sports,11,ME by Meliá,Discover unparalleled luxury with breathtaking panoramic ocean views from every residence.,"Set against stunning ocean views, this exclusive residence features private infinity pools and direct beach access for unparalleled luxury."
Montage Cay Residences,https://montagecayresidences.com/,"Montage Cay, Marsh Harbour, Abaco Islands",6000000,1500,4000000,17000000,4000,51,2026,under construction,high,yes,yes,95,Marsh Harbour,Bahamas,"Private pools, fitness center, private marina, beach club","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, private yacht access",Oceanfront pool with Abaco Sea views,Signature dining with Bahamian cuisine,Private marina for yacht excursions,11,Montage,Discover unparalleled luxury with breathtaking ocean views and private beach access.,"Offering breathtaking ocean views, these luxurious residences feature private pools and direct access to pristine white-sand beaches."
"Montage Residences, Deer Valley",https://www.montageresidencesdeervalley.com/,"Montage Residences, Deer Valley  
9100 Marsac Avenue  
Park City, UT 84060  
United States",5000000,2000,4000000,7500000,2500,81,2010,completed,high,yes,yes,95,Park City,United States,"Ski-in/ski-out access, fitness center, bowling alley, 35,000 sq ft spa","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, ski valet, sauna, residents’ lounge","Indoor-outdoor pool at 35,000 sq ft Spa Montage",Apex fine dining with mountain views,Four-lane bowling alley at Daly’s Pub,10,Montage,Elevate your lifestyle with ski-in/ski-out luxury and breathtaking alpine vistas.,"Set against breathtaking mountain vistas, these residences boast unparalleled ski-in/ski-out access and luxurious amenities, redefining alpine living."
Montage Residences,https://montageresidenceshealdsburg.com/,"Montage Residences Healdsburg, 100 Montage Way, Healdsburg, CA 95448, United States.",5500000,1200,1350000,8181000,4600,40,2021,under construction,high,yes,yes,95,Healdsburg,United States,"Private plunge pools, fitness center, 11,500 sq ft spa, vineyard","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, pickleball courts, archery range, residents-only pool",Residents-only pool overlooking vineyards,Hazel Hill farm-to-table dining,Spa Montage with wellness treatments,11,Montage,"Amidst rolling vineyards, luxurious villas offer unparalleled panoramic views and serenity.","Offering breathtaking vineyard views and direct access to world-class wineries, these residences redefine luxury living in Healdsburg."
"Montage Residences, Bay",https://montageresidenceskapaluabay.com/,"Montage Residences, Bay  
1 Bay Drive  
Kapalua, HI 96761  
United States",4500000,1800,2500000,8500000,2500,146,2009,completed,high,no,yes,95,Kapalua,United States,"Private lanais, fitness center, lagoon-style pools, world-class spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, tennis courts, hiking trails",Lagoon-style pools with Pacific Ocean views,Spa Montage with Maui-inspired treatments,Cane & Canoe dining with local cuisine,11,Montage,"Immerse yourself in breathtaking ocean views from luxurious, spacious residences in paradise.","Offering breathtaking ocean views and direct access to pristine beaches, this residence features luxurious amenities and unparalleled privacy."
Montage Residences,https://www.montage.com/lagunabeach/residences/,"30801 South Coast Highway, Laguna Beach, CA 92651, United States.",15000000,3000,8000000,30000000,5000,28,2003,completed,high,yes,yes,95,Laguna Beach,United States,"Private courtyards, fitness center, oceanfront spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, sauna, residents’ lounge",Oceanfront pool with Pacific views,Spa Montage with coastal wellness treatments,The Loft dining with California cuisine,10,Montage,Unrivaled coastal luxury meets breathtaking oceanfront views in every exquisite detail.,"Overlooking the stunning Pacific coastline, these residences boast expansive ocean views, private terraces, and unparalleled access to pristine beaches."
Montage Residences,https://www.montageresidencesloscabos.com/,"Carretera Transpeninsular Km. 12.5, Int. Bahía Santa María",3500000,1400,2250000,5000000,2500,52,2018,completed,high,yes,yes,95,Cabo San Lucas,Mexico,"Private plunge pools, fitness center, full-service spa, private lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, beach access, tennis courts, bocce ball court",Oceanfront pool at Santa Maria Bay,Marea dining with Baja cuisine,Access to Twin Dolphin 18-hole golf course,12,Montage,Discover unparalleled oceanfront luxury with breathtaking views and world-class amenities.,"Overlooking the stunning Sea of Cortez, these residences boast private infinity pools and direct beach access for unparalleled luxury."
"Montage Residences, Palmetto Bluff",https://www.montageresidencespalmettobluff.com/,"Montage Residences, Palmetto Bluff  
477 Mount Pelia Road  
Bluffton, SC 29910  
United States",3500000,1000,2000000,7500000,3500,97,2016,completed,high,yes,yes,95,Bluffton,United States,"Screened porches, fitness center, Carolina rooms with fireplaces, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, hiking trails, archery range, bocce ball court",Resort-style pool with Lowcountry views,Octagon dining with Southern cuisine,Access to Jack Nicklaus Signature golf course,12,Montage,Immerse yourself in luxury with stunning waterfront views and unparalleled southern charm.,"Overlooking pristine marshlands and a tranquil river, these residences boast expansive outdoor spaces and unparalleled access to nature trails and golf courses."
Montage Residences,https://montageresidencesbigsky.com/,"Montage Residences Big Sky  
995 Settlement Trail",7500000,2500,4250000,18600000,3000,86,2021,completed,high,yes,yes,95,Big Sky,United States,"Ski-in/ski-out access, fitness center, bowling alley, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, ski valet, hot tubs, residents-only pool",Indoor-outdoor pool with Spanish Peaks views,Alpine fine dining with Montana-inspired cuisine,Six-lane bowling alley at The Living Room,10,Montage,"Elevate mountain living with ski-in, ski-out luxury and breathtaking alpine vistas.","Offering breathtaking panoramic mountain views and direct access to world-class skiing, this residence combines luxury with unparalleled outdoor adventure."
Montage Residences,https://www.montage.com/destinations/puntamita/residences/,"Punta Mita, Bahía de Banderas, Nayarit",6000000,1500,5000000,15000000,4000,62,2027,under construction,high,yes,yes,95,Punta Mita,Mexico,"Private plunge pools, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, beach access, tennis courts, water sports",Oceanfront pool with Banderas Bay views,Signature dining with Mexican cuisine,Access to two Jack Nicklaus Signature golf courses,12,Montage,Unwind in oceanfront luxury with panoramic views and private plunge pools.,"Offering breathtaking ocean views and direct beach access, these residences feature private plunge pools and luxurious amenities."
"Mövenpick Residences, Teuta",https://accor-residences.com/property/movenpick-residences-cam-ranh-vietnam/,"Palih Boraca 19b, Risan",600000,1000,445000,1950000,600,66,2025,under construction,high,yes,yes,95,Risan,Montenegro,"Private terraces, fitness center, indoor infinity pool, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, gelateria, yoga space",Indoor infinity pool with Kotor Bay views,Rooftop and beachside dining with Mediterranean cuisine,Mövenpick gelateria with premium ice cream,11,Mövenpick,Bask in luxurious serenity with stunning views of Kotor Bay's azure waters.,"Overlooking the stunning Kotor Bay, this residence boasts private terraces with breathtaking views and direct access to pristine beaches."
Mövenpick Residences,https://accor-residences.com/property/movenpick-residences-teuta-kotor-bay/,"Mövenpick Residences Cam Ranh, 2 Nguyen Tat Thanh, Cam Ranh, Khanh Hoa, Vietnam.",1200000,600,800000,1800000,2000,118,2019,completed,high,yes,yes,95,Khanh Hoa,Vietnam,"Private balconies, fitness center, serenity spa, Swiss Village","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, water park, rope park, rock climbing wall",Oceanfront pool with Long Beach views,Panorama restaurant with Vietnamese cuisine,"1,100 sqm Serenity Spa with wellness treatments",11,Mövenpick,Wake up to sweeping oceanfront views and private luxury in every detail.,"Offering breathtaking ocean views and direct beach access, these residences feature luxurious amenities and a serene tropical setting."
Mövenpick Residences,https://accor-residences.com/property/movenpick-residences-phu-quoc-vietnam/,"Mövenpick Residences Phu Quoc, Ong Lang Beach, Cua Duong Village, Phu Quoc District",600000,750,250000,1200000,800,408,2019,completed,high,yes,yes,95,Phu Quoc,Vietnam,"Private balconies, fitness center, wellness spa, Swiss Village","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, sauna",Oceanfront pool with Ong Lang Beach views,Chocolate Hour at Mövenpick’s signature restaurants,Spa La Perle with sauna and wellness treatments,11,Mövenpick,Discover unparalleled luxury with private beachfront villas and breathtaking ocean views.,"Offering breathtaking ocean views and private beach access, this residence features luxurious amenities and vibrant tropical gardens."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/abu-dhabi/,"Mamsha Al Saadiyat, Saadiyat Island",3500000,1250,2177000,10880000,2800,88,2027,under construction,high,yes,yes,95,Abu Dhabi,UAE,"Private balconies, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Oceanfront pool with Arabian Gulf views,Nobu restaurant with waterfront dining,Wellness center with sauna facilities,10,Nobu,Indulge in luxurious waterfront living with breathtaking views and exquisite design.,"The residences boast breathtaking waterfront views, private beach access, and unparalleled amenities, redefining luxury living in the city."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/nobu-hotel-danang/,"1 Vo Van Kiet, Phuoc My, Son Tra",1000000,1250,500000,3000000,800,266,2026,under construction,high,yes,yes,95,Da Nang,Vietnam,"Private balconies, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Rooftop pool with My Khe Beach views,Nobu restaurant with Japanese fusion cuisine,Wellness center with sauna and fitness facilities,10,Nobu,Immerse yourself in luxury with stunning ocean views and world-class amenities.,"Overlooking the stunning My Khe Beach, these residences boast private infinity pools and bespoke concierge services for unparalleled luxury."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/nobu-hotel-al-khobar/,"Nobu Residences Al Khobar, King Saud Road, Al Khobar, Saudi Arabia.",2500000,1250,1500000,4000000,2000,63,2026,under construction,high,yes,yes,95,Al Khobar,Saudi Arabia,"Private balconies, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, rooftop terrace",Rooftop pool with Arabian Gulf views,Nobu restaurant with Japanese fusion cuisine,Wellness center with sauna facilities,10,Nobu,Where sleek Japanese-inspired elegance meets unparalleled waterfront luxury and sophistication.,"Offering breathtaking waterfront views and unparalleled access to luxury amenities, this residence redefines upscale living in Al Khobar."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/nobu-hotel-al-marjan-island/,Al Marjan Island,1500000,714,651000,4900000,2100,300,2026,under construction,high,yes,yes,92,Ras Al Khaimah,UAE,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Oceanfront pool with Arabian Gulf views,Nobu beach club with curated dining,Wellness spa with sauna facilities,11,Nobu,Discover unparalleled luxury with breathtaking panoramic views of the Arabian Gulf.,"Overlooking pristine beaches and the stunning Hajar Mountains, these residences boast unparalleled luxury with exclusive amenities and breathtaking views."
Nobu Residences,https://loscabos.nobuhotels.com/residences/,"Nobu Residences Los Cabos, Carretera Transpeninsular Km 28.5, San José del Cabo, Baja California Sur, Mexico.",2750000,917,1200000,6500000,3000,60,2019,completed,high,yes,yes,94,San José del Cabo,Mexico,"Private plunge pools, fitness center, Esencia Wellness Spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Oceanfront infinity pool with Pacific Ocean views,Nobu restaurant with Japanese fusion cuisine,Esencia Wellness Spa with hydrotherapy garden,12,Nobu,Luxuriate in breathtaking ocean views from your private infinity pool oasis.,"Offering breathtaking ocean views and direct beach access, these residences feature luxurious amenities and personalized services for an unparalleled lifestyle."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/tulum/,"Nobu Residences Tulum, Carretera Tulum-Boca Paila, KM 7.5, Tulum, Quintana Roo, Mexico.",2000000,833,900000,5000000,2400,50,2026,under construction,high,yes,yes,90,Tulum,Mexico,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Beachfront pool with Riviera Maya views,Nobu restaurant with Japanese fusion cuisine,Wellness spa with sauna facilities,11,Nobu,Immerse in serene luxury where sleek design meets Tulum's lush jungle tranquility.,"Overlooking pristine beaches and lush jungles, these residences boast unparalleled ocean views, private infinity pools, and exclusive access to vibrant local culture."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/nobu-hotel-punta-cana/?utm_source=chatgpt.com,"Nobu Residences Punta Cana, Boulevard de la Marina, Cap Cana, Punta Cana 23000, Dominican Republic.",2250000,900,1000000,5500000,2500,50,2025,under construction,high,yes,yes,91,Punta Cana,Dominican Republic,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Oceanfront pool with Caribbean Sea views,Nobu restaurant with Japanese fusion cuisine,Wellness spa with sauna facilities,11,Nobu,Immerse yourself in unparalleled luxury with breathtaking oceanfront views and exquisite design.,"Offering breathtaking ocean views, these luxurious residences feature private pools, gourmet dining, and direct beach access for ultimate indulgence."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/nobu-hotel-orlando/,"Nobu Residences Orlando, 610 N Orange Ave, Orlando, FL 32801, United States.",2500000,1000,1200000,6000000,2500,50,2026,under construction,high,yes,yes,90,Orlando,United States,"Private balconies, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, residents’ lounge, in-residence dining, sauna, rooftop terrace",Rooftop pool with Orlando skyline views,Nobu restaurant with Japanese fusion cuisine,Wellness center with sauna facilities,10,Nobu,Indulge in luxury with stunning waterfront views and world-class amenities at your doorstep.,"Offering breathtaking skyline views and luxurious amenities, these residences feature private rooftop terraces and direct access to vibrant entertainment options."
Nobu Residences,https://www.nobuhotels.com/hotel-collection/northcoastegypt/,"Km 134, Alexandria-Marsa Matrouh Road",1800000,750,800000,4500000,2400,60,2027,planned,high,yes,yes,88,Sidi Abdel Rahman,Egypt,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, residents’ lounge, in-residence dining",Beachfront pool with Mediterranean Sea views,Nobu restaurant with Japanese fusion cuisine,Wellness spa with sauna facilities,11,Nobu,"Where contemporary elegance meets serene Mediterranean shores, redefining luxury coastal living.","Overlooking pristine beaches and crystal-clear waters, these residences feature private infinity pools and expansive terraces for unparalleled luxury living."
Nobu Residences,https://www.nobuhotels.com/toronto/,"Nobu Residences Toronto, 15 Mercer St, Toronto, ON M5V 0C4, Canada.",1600000,1250,750000,3500000,1280,660,2023,completed,high,yes,yes,95,Toronto,Canada,"Private balconies, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, rooftop terrace",Rooftop pool with Toronto skyline views,Nobu restaurant with Japanese fusion cuisine,Wellness center with sauna facilities,10,Nobu,Elevate your lifestyle with panoramic city views and world-class culinary indulgence.,"Boasting breathtaking skyline views and direct access to a world-class culinary experience, this residence redefines luxury living in Toronto."
One&Only Private Residences,https://www.oneandonlyresorts.com/mandarina/private-homes,"Mandarina, Mexico: Carretera Federal 200, km 5.5, 63734, Riviera Nayarit, Mexico.",7500000,1500,4000000,15000000,5000,55,2021,completed,high,yes,yes,93,Riviera Nayarit,Mexico,"Private plunge pools, fitness center, beach club, Spa at One&Only","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, botanical garden",Private plunge pool with Pacific Ocean views,Alma restaurant with Mexican cuisine,Spa at One&Only with jungle-inspired treatments,11,One&Only,Indulge in luxurious beachfront living amidst lush jungles and breathtaking ocean views.,"Set along the stunning Riviera Nayarit, these residences boast breathtaking ocean views, lush jungle surroundings, and unparalleled privacy."
One&Only Private Residences,https://www.oneandonlyresorts.com/kea-island/private-homes,Vroskopos Bay,5500000,950,4000000,8500000,5790,25,2023,under construction,low,yes,yes,92,Kéa Island,Greece,"Private infinity pools, fitness center, beach club, Cycladic-inspired spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, yoga studio",Private infinity pool with Aegean Sea views,Signature dining with Greek cuisine,Cycladic-inspired spa with wellness treatments,11,One&Only,Immerse in serene Aegean luxury with panoramic sea views and unmatched privacy.,"Offering breathtaking sea views and private access to pristine beaches, these residences redefine luxury living in Greece."
One&Only Private Residences,https://www.oneandonlyresorts.com/portonovi/private-homes/ownership,Vojna Kasarna bb,6500000,1200,4000000,10000000,5413,10,2021,completed,high,yes,yes,94,Kumbor,Montenegro,"Private sandy beach, fitness center, private jetty, Chenot Espace spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, marina access, tennis courts",Private pool with Boka Bay views,Tapasake Club with Asian-inspired cuisine,Chenot Espace spa with wellness programs,11,One&Only,Discover unparalleled Adriatic luxury with breathtaking panoramic views and private beach access.,"These luxurious residences boast breathtaking Adriatic Sea views, private infinity pools, and access to a pristine beach, ensuring unparalleled exclusivity."
One&Only Private Residences,https://www.oneandonlyresorts.com/one-zaabeel/private-homes,Za'abeel 1,5000000,1400,2500000,10000000,3570,92,2024,completed,high,yes,yes,95,Dubai,UAE,"Private terraces, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, rooftop terrace",Infinity pool with Dubai skyline views,Signature dining at The Link with global cuisines,Spa at One&Only with wellness treatments,10,One&Only,Indulge in unparalleled luxury with breathtaking views of the Arabian Gulf.,These luxurious residences boast breathtaking panoramic views of the iconic Palm Jumeirah and offer unparalleled access to world-class amenities.
