residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
ILIV at Grange,https://www.yooresidences.com/property/ilivgrange/,"12 Grange Road, Singapore 249576, Singapore",2000000,1600,1500000,3000000,1250,30,2013,completed,high,yes,yes,95,Singapore,Singapore,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Green Spaces/Parks",,Shared Lounges,Green Spaces/Parks,Concierge Services,,Yoo,"Elevate your lifestyle with panoramic city views and luxurious, bespoke interiors.","ILIV at Grange boasts panoramic city skyline views and private terraces, offering residents an exclusive urban oasis in Singapore."
Tribeca,https://www.yooresidences.com/property/tribeca/,"2/1-3 Yarra Street, South Yarra VIC 3141, Australia",600000,800,400000,1000000,750,100,2018,completed,high,yes,yes,96,South Yarra,Australia,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges",,Spa,Rooftop Amenities,Concierge Services,,Yoo,Discover an exquisite blend of modern luxury and breathtaking city skyline views.,"Overlooking the Yarra River, this residence boasts expansive balconies with breathtaking city views and exclusive rooftop amenities."
Cape Yamu,https://www.yooresidences.com/property/cape-yamu/,"Phuket, Thailand",2500000,1000,1800000,4000000,2500,17,2014,completed,high,yes,yes,96,Phuket,Thailand,"Private Pool, Infinity Pool, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Beachfront Villas","On-site Restaurant/Café, Security Staff, Concierge Services, Private Beach Access, Housekeeping Services, Spa, Green Spaces/Parks",,Private Beach Access,Concierge Services,Spa,,Yoo,"A sanctuary of modern luxury, offering panoramic ocean views and serene exclusivity.","Cape Yamu boasts breathtaking panoramic views of Phang Nga Bay, alongside exclusive access to pristine beaches and lush tropical surroundings."
YOO meta,https://www.yooresidences.com/property/yoo-meta/,"YOO Meta, 2-4 Wentworth Street, Sydney, NSW 2000, Australia",1200000,1200,800000,1800000,1000,200,2017,completed,high,yes,yes,95,Sydney,Australia,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Shared Lounges",,Rooftop Amenities,Concierge Services,On-site Restaurant/Café,,Yoo,Elevate your lifestyle with breathtaking panoramic views of Sydney's iconic skyline.,"Offering breathtaking harbor views and unparalleled access to vibrant city life, this residence features luxurious amenities and innovative design."
"YOO Residences, Keppel Bay",https://www.yooresidences.com/property/keppel-bay/,"Zhongshan, China",500000,400,300000,800000,1250,200,2017,completed,medium,yes,yes,90,Zhongshan,China,"Private Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Outdoor Kitchen / BBQ Area, Roof Deck / Patio","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Marina/Yacht Club, Housekeeping Services, Shared Lounges, Green Spaces/Parks",,Marina/Yacht Club,On-site Restaurant/Café,Green Spaces/Parks,,Yoo,Breathtaking waterfront views and lush greenery create an idyllic urban sanctuary.,"Offering breathtaking waterfront views and unparalleled access to vibrant urban amenities, this residence redefines luxury living in Zhongshan."
OH by YOO Residences,https://www.yooresidences.com/property/oh/,"Av. República del Salvador N24-186 y Av. Eloy Alfaro, Quito, Ecuador",250000,250,200000,350000,1000,100,2024,completed,medium,yes,yes,92,Quito,Ecuador,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Business Center, Kids' Play Area, Sports Facilities, Cinema/Screening Room",,Business Center,Spa,Sports Facilities,,Yoo,Discover breathtaking panoramic views of Quito from these luxurious sky-high residences.,"Offering breathtaking panoramic views of the Andes, this residence features luxurious amenities and direct access to vibrant cultural hotspots."
One Sixty Cyrela by YOO Residences,https://www.yooresidences.com/property/one-sixty-cyrela-by-yoo/,"Rua Quatá, 804, Vila Olímpia, São Paulo - SP, 04546-044, Brazil",1500000,900,1000000,2500000,1667,55,2017,completed,high,yes,yes,97,São Paulo,Brazil,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Private Cabanas, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Kids' Play Area, Tennis Courts","Indoor Pool, Sauna",Spa,Rooftop Amenities,Tennis Courts,,Yoo,Elevate your lifestyle in São Paulo with breathtaking views and exquisite design.,"Offering breathtaking skyline views and exceptional amenities, this residence redefines luxury living in the heart of São Paulo."
YOO Quito Residences,https://www.yooresidences.com/property/yoo-quito/,"Avenida República del Salvador N34-137, Quito, Ecuador",300000,300,250000,400000,1000,150,2019,completed,high,yes,yes,95,Quito,Ecuador,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Kids' Play Area, Business Center",Jacuzzi,Spa,Rooftop Amenities,Business Center,,Yoo,"Elevated luxury living with breathtaking Andes views and visionary, art-inspired design.","Offering breathtaking panoramic views of the Andes, these residences feature luxurious amenities and an unparalleled rooftop garden for relaxation."
Hyde by YOO Residences,https://www.yooresidences.com/property/hyde/,"Avenida Balboa, Panama City, Panama",350000,400,250000,500000,875,400,2017,completed,high,yes,yes,95,Panama City,Panama,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks, Business Center",,Spa,Concierge Services,Business Center,,Yoo,Elevate your lifestyle with breathtaking ocean views from every luxurious corner.,"Offering breathtaking skyline views and unparalleled access to vibrant cultural hotspots, this residence redefines luxury living in Panama City."
YOO Residences,https://www.yooresidences.com/property/yoo-cumbaya/,"Av. Interoceánica y Av. La Cumbaya, Cumbayá, Ecuador",200000,200,150000,300000,1000,120,2018,completed,medium,yes,yes,96,Cumbayá,Ecuador,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks, Kids' Play Area",,Green Spaces/Parks,Spa,Concierge Services,,Yoo,Discover breathtaking panoramic views and luxurious living in the heart of Cumbayá.,"Overlooking the stunning Andean mountains, this residence boasts expansive terraces, eco-friendly design, and unparalleled access to vibrant local culture."
G by YOO Residences,https://www.yooresidences.com/property/g-by-yoo/,"Çırağan Cad. No: 32, Beşiktaş, 34349 Istanbul, Turkey",800000,600,500000,1200000,1333,90,2018,completed,medium,yes,yes,93,Istanbul,Turkey,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Business Center",,Concierge Services,Spa,Business Center,,Yoo,Immerse yourself in artistic luxury with bespoke interiors crafted by world-renowned designers.,"Offering breathtaking Bosphorus views and a rooftop infinity pool, this residence combines luxury living with unparalleled urban convenience."
YOO Residences at Metropica,https://www.yooresidences.com/property/yoo-residences-at-metropica/,"1800 S. Flamingo Road, Pembroke Pines, FL 33027, USA",600000,500,400000,1000000,1200,263,2019,completed,high,yes,yes,97,Pembroke Pines,United States,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Tennis Courts, Kids' Play Area, Pet-Friendly Facilities, Cinema/Screening Room",,Spa,Rooftop Amenities,Cinema/Screening Room,,Yoo,Embrace luxury with panoramic skyline views and world-class design artistry.,"Offering stunning panoramic views of the Everglades and exclusive access to a private rooftop pool, this residence redefines luxury living."
YOO Residences,https://www.yooresidences.com/property/yoo-montreal/,"1188 Rue Saint-Antoine Ouest, Montreal, QC H3C 1B4, Canada",600000,600,400000,1000000,1000,225,2018,completed,high,yes,yes,94,Montreal,Canada,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Business Center",,Spa,Rooftop Amenities,Business Center,,Yoo,Embrace urban luxury with stunning panoramic views and vibrant community connections.,"Offering stunning panoramic views of the city skyline and Mount Royal, this residence features unparalleled amenities and a vibrant community atmosphere."
Echo Brickell by YOO Residences,https://www.yooresidences.com/property/echo-brickell/,"1451 Brickell Ave, Miami, FL 33131, USA",1200000,1200,800000,17750000,1000,180,2017,completed,high,yes,yes,98,Miami,United States,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Pet-Friendly Facilities",,Spa,Shared Lounges,On-site Restaurant/Café,,Yoo,"Soaring above Miami, this ultra-modern haven boasts private terrace plunge pools.","Offering stunning panoramic views of Biscayne Bay and the Miami skyline, this residence features luxurious amenities and unparalleled access to vibrant urban life."
YOO Residences,https://www.yooresidences.com/property/yoo-residence/,"38 Tai Tam Road, Hong Kong",1500000,2000,1000000,2500000,750,149,2014,completed,high,yes,yes,94,Hong Kong,Hong Kong,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges",,Concierge Services,On-site Restaurant/Café,Shared Lounges,,Yoo,Elevate your lifestyle with panoramic skyline views and cutting-edge interior design.,"Offering breathtaking harbor views and luxurious amenities, this residence features a stunning rooftop infinity pool and private gardens."
Malecon by YOO Residences,https://www.yooresidences.com/property/malecon-by-yoo/,"Malecón de la Reserva 610, Miraflores, Lima 18, Peru",350000,350,250000,500000,1000,117,2014,completed,high,yes,yes,96,Lima,Peru,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,Spa,Concierge Services,Green Spaces/Parks,,Yoo,"Overlooking the Pacific, these luxurious residences redefine coastal living with unmatched elegance.","Overlooking the stunning Pacific Ocean, this residence boasts expansive terraces, luxurious amenities, and unparalleled access to vibrant coastal living."
Leontievsky Mys by YOO Residences,https://www.yooresidences.com/property/leontievsky-mys/,"Leontievsky Mys, 1, St. Petersburg, Russia",1000000,500,600000,1800000,2000,400,2021,completed,medium,yes,yes,97,St. Petersburg,Russia,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Business Center",,Spa,Concierge Services,Business Center,,Yoo,Discover unparalleled elegance with panoramic Neva River views and luxurious interiors.,"Overlooking the serene waters of the Gulf of Finland, this residence boasts panoramic views and exclusive waterfront amenities."
Lodha Evoq by YOO Residences,https://www.yooresidences.com/property/lodha-evoq/,"Lodha Evoq, Off. LBS Marg, Near Kurla, Mumbai, Maharashtra 400070, India",600000,350,400000,800000,1714,258,2024,completed,high,yes,yes,98,Mumbai,India,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Business Center, Green Spaces/Parks, Kids' Play Area",,Spa,Rooftop Amenities,Concierge Services,,Yoo,Luxury meets artistry in spacious designer homes with panoramic cityscape views.,"Offering panoramic views of the Arabian Sea and lush greenery, this residence features innovative design and unparalleled amenities for luxurious urban living."
YOO Residences,https://www.yooresidences.com/property/yoo-pune/,"Kalyani Nagar, Pune, India",1000000,400,800000,1500000,2500,228,2015,completed,high,yes,yes,96,Pune,India,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Shared Lounges, Green Spaces/Parks",,Rooftop Amenities,On-site Restaurant/Café,Green Spaces/Parks,,Yoo,Elevate your lifestyle with panoramic city views and luxurious designer interiors.,"YOO Residences in Pune boast panoramic views of the city skyline, luxurious amenities, and exclusive access to a private rooftop garden."
Barkli Park by YOO Residences,https://www.yooresidences.com/property/barkli-park/,"1st Tverskaya-Yamskaya St, 12, Moscow, 125047, Russia",1200000,600,800000,2000000,2000,137,2017,completed,medium,yes,yes,95,Moscow,Russia,"Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Fitness Room / Gym","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Green Spaces/Parks",,Concierge Services,On-site Restaurant/Café,Green Spaces/Parks,,Yoo,Discover luxurious living amidst lush greenery and stunning urban vistas in Moscow.,"Offering breathtaking views of Moscow's skyline, this residence features luxurious amenities, a serene park, and exclusive wellness facilities."
Barkli Virgin House by YOO Residences,https://www.yooresidences.com/property/barkli-virgin-house/,"5, 1-Ya Tverskaya-Yamskaya St, Moscow, 125047, Russia",2500000,1000,1800000,4000000,2500,21,2012,completed,medium,yes,yes,97,Moscow,Russia,"Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges",,Concierge Services,Housekeeping Services,Shared Lounges,,Yoo,"Immerse yourself in bold, artistic interiors paired with breathtaking panoramic city views.","Offering breathtaking views of the Moscow skyline, this residence features private terraces and luxurious amenities for an unparalleled lifestyle."
Iguazu Falls by YOO Residences,https://www.yooresidences.com/property/acqua-iguazu/,"15th Avenue, Barangay Bagumbayan, Quezon City, Metro Manila, Philippines",150000,300,100000,250000,500,150,2016,completed,high,yes,yes,95,Manila,Philippines,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,On-site Restaurant/Café,Green Spaces/Parks,Spa,,Yoo,Discover unparalleled luxury with breathtaking panoramic views in Manila's premier residence.,"Offering breathtaking panoramic views of the city skyline and lush landscapes, this residence boasts luxurious amenities and unparalleled exclusivity."
Sans Souci Hotel YOO Residences,https://www.yooresidences.com/property/sans-souci-residences/,"Burggasse 2, 1070 Vienna, Austria",1800000,1200,1200000,2500000,1500,15,2012,completed,medium,yes,yes,96,Vienna,Austria,"Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Housekeeping Services, Spa, Shared Lounges",,On-site Restaurant/Café,Spa,Concierge Services,,Yoo,"Luxuriate in stunning, contemporary elegance amidst Vienna's historic charm and vibrant culture.","Overlooking the serene gardens of the iconic palace, this residence boasts expansive terraces and unparalleled luxury amenities, creating an extraordinary living experience."
YOO Residences,https://www.yooresidences.com/property/yoo-berlin/,"Friedrichstraße 200, 10117 Berlin, Germany",1200000,1000,800000,2000000,1200,95,2014,completed,high,yes,yes,98,Berlin,Germany,"Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges",,Concierge Services,On-site Restaurant/Café,Shared Lounges,,Yoo,Embrace unparalleled luxury with panoramic skyline views from your private sanctuary.,"Offering breathtaking views of the Spree River and a rooftop terrace, this residence combines luxury living with vibrant urban culture."
The Lakes by YOO Residences,https://www.yooresidences.com/property/the-lakes-by-yoo/,"The Lakes by YOO, Cotswolds, United Kingdom, GL7 6BQ",2000000,800,1500000,3500000,2500,165,2015,completed,medium,yes,yes,96,Cotswolds,UK,"Private Pool, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Outdoor Kitchen / BBQ Area, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Concierge Services, Housekeeping Services, Spa, Green Spaces/Parks, Biking/Running Trails",,Spa,Green Spaces/Parks,Concierge Services,,Yoo,Discover luxurious lakeside living amidst stunning natural beauty and exquisite craftsmanship.,"Set against a breathtaking backdrop of rolling hills and serene lakes, this residence boasts unparalleled privacy and bespoke amenities."
YOO Istanbul Residences,https://www.yooresidences.com/property/yoo-istanbul/,"10 Kuruçeşme, 34345 Beşiktaş, Istanbul, Turkey",1500000,750,1000000,2500000,2000,115,2016,completed,high,yes,yes,97,Istanbul,Turkey,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges",,Spa,Concierge Services,On-site Restaurant/Café,,Yoo,"Where bold design meets panoramic Bosphorus views, redefining luxury urban living.","Offering breathtaking Bosphorus views, these residences feature bespoke interiors, unparalleled amenities, and direct access to vibrant cultural hotspots."
YOO Residences,https://www.yooresidences.com/property/yoo-panama/,"Avenida Balboa, Panama City, Panama",450000,500,300000,700000,900,680,2014,completed,high,yes,yes,97,Panama City,Panama,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,Spa,Concierge Services,Shared Lounges,,Yoo,Enjoy breathtaking skyline views from your luxurious private balcony oasis.,"Offering breathtaking ocean views and unparalleled access to vibrant nightlife, this residence features a stunning infinity pool and lush gardens."
YOO Residences,https://www.yooresidences.com/property/yoo-nordelta/,"Avenida del Libertador 7501, Buenos Aires, Argentina",400000,300,250000,600000,1333,200,2015,completed,high,yes,yes,96,Buenos Aires,Argentina,"Private Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Green Spaces/Parks, Kids' Play Area",,Green Spaces/Parks,Concierge Services,On-site Restaurant/Café,,Yoo,Indulge in luxurious living with stunning panoramic views of Buenos Aires' skyline.,"Overlooking the vibrant cityscape, these residences boast floor-to-ceiling windows, private terraces, and exclusive access to a rooftop pool."
